constituency,count,candidate_id,candidate,incumbent,party,votes,status,seats,quota,turnout,tvp,spoilt,electorate
Dublin West,1,paul donnelly,Paul Donnelly,FALSE,SF,"6,056",running,1,14478,29350,28955,395,63521
Dublin West,1,ruth coppinger,Ruth Coppinger,FALSE,SP,"5,977",running,1,14478,29350,28955,395,63521
Dublin West,1,david mcguinness,David McGuinness,FALSE,FF,"5,053",running,1,14478,29350,28955,395,63521
Dublin West,1,david hall,David Hall,FALSE,IND,"3,803",running,1,14478,29350,28955,395,63521
Dublin West,1,eamon coghlann,Eamonn Coghlan,FALSE,FG,"3,715",running,1,14478,29350,28955,395,63521
Dublin West,1,roderic ogorman,Roderic O'Gorman,FALSE,GP,"1,856",running,1,14478,29350,28955,395,63521
Dublin West,1,lorraine mulligan,Lorraine Mulligan,FALSE,LAB,"1,505",running,1,14478,29350,28955,395,63521
Dublin West,1,sean lyons,Seán Lyons,FALSE,IND,649,eliminated,1,14478,29350,28955,395,63521
Dublin West,1,john kidd,John Kidd,FALSE,IND,228,eliminated,1,14478,29350,28955,395,63521
Dublin West,1,daniel boyne,Daniel Boyne,FALSE,FN,113,eliminated,1,14478,29350,28955,395,63521
Dublin West,2,paul donnelly,Paul Donnelly,FALSE,SF,"6,120",running,1,14478,29350,28955,395,63521
Dublin West,2,ruth coppinger,Ruth Coppinger,FALSE,SP,"6,112",running,1,14478,29350,28955,395,63521
Dublin West,2,david mcguinness,David McGuinness,FALSE,FF,"5,156",running,1,14478,29350,28955,395,63521
Dublin West,2,david hall,David Hall,FALSE,IND,"4,133",running,1,14478,29350,28955,395,63521
Dublin West,2,eamon coghlann,Eamonn Coghlan,FALSE,FG,"3,788",running,1,14478,29350,28955,395,63521
Dublin West,2,roderic ogorman,Roderic O'Gorman,FALSE,GP,"1,951",eliminated,1,14478,29350,28955,395,63521
Dublin West,2,lorraine mulligan,Lorraine Mulligan,FALSE,LAB,"1,540",eliminated,1,14478,29350,28955,395,63521
Dublin West,2,sean lyons,Seán Lyons,FALSE,IND,,eliminated,1,14478,29350,28955,395,63521
Dublin West,2,john kidd,John Kidd,FALSE,IND,,eliminated,1,14478,29350,28955,395,63521
Dublin West,2,daniel boyne,Daniel Boyne,FALSE,FN,,eliminated,1,14478,29350,28955,395,63521
Dublin West,3,paul donnelly,Paul Donnelly,FALSE,SF,"6,296",running,1,14478,29350,28955,395,63521
Dublin West,3,ruth coppinger,Ruth Coppinger,FALSE,SP,"6,744",running,1,14478,29350,28955,395,63521
Dublin West,3,david mcguinness,David McGuinness,FALSE,FF,"5,691",running,1,14478,29350,28955,395,63521
Dublin West,3,david hall,David Hall,FALSE,IND,"4,783",running,1,14478,29350,28955,395,63521
Dublin West,3,eamon coghlann,Eamonn Coghlan,FALSE,FG,"4,693",eliminated,1,14478,29350,28955,395,63521
Dublin West,3,roderic ogorman,Roderic O'Gorman,FALSE,GP,,eliminated,1,14478,29350,28955,395,63521
Dublin West,3,lorraine mulligan,Lorraine Mulligan,FALSE,LAB,,eliminated,1,14478,29350,28955,395,63521
Dublin West,3,sean lyons,Seán Lyons,FALSE,IND,,eliminated,1,14478,29350,28955,395,63521
Dublin West,3,john kidd,John Kidd,FALSE,IND,,eliminated,1,14478,29350,28955,395,63521
Dublin West,3,daniel boyne,Daniel Boyne,FALSE,FN,,eliminated,1,14478,29350,28955,395,63521
Dublin West,4,paul donnelly,Paul Donnelly,FALSE,SF,"6,516",running,1,14478,29350,28955,395,63521
Dublin West,4,ruth coppinger,Ruth Coppinger,FALSE,SP,"7,342",running,1,14478,29350,28955,395,63521
Dublin West,4,david mcguinness,David McGuinness,FALSE,FF,"6,789",running,1,14478,29350,28955,395,63521
Dublin West,4,david hall,David Hall,FALSE,IND,"5,846",eliminated,1,14478,29350,28955,395,63521
Dublin West,4,eamon coghlann,Eamonn Coghlan,FALSE,FG,,eliminated,1,14478,29350,28955,395,63521
Dublin West,4,roderic ogorman,Roderic O'Gorman,FALSE,GP,,eliminated,1,14478,29350,28955,395,63521
Dublin West,4,lorraine mulligan,Lorraine Mulligan,FALSE,LAB,,eliminated,1,14478,29350,28955,395,63521
Dublin West,4,sean lyons,Seán Lyons,FALSE,IND,,eliminated,1,14478,29350,28955,395,63521
Dublin West,4,john kidd,John Kidd,FALSE,IND,,eliminated,1,14478,29350,28955,395,63521
Dublin West,4,daniel boyne,Daniel Boyne,FALSE,FN,,eliminated,1,14478,29350,28955,395,63521
Dublin West,5,paul donnelly,Paul Donnelly,FALSE,SF,"7,028",eliminated,1,14478,29350,28955,395,63521
Dublin West,5,ruth coppinger,Ruth Coppinger,FALSE,SP,"8,807",running,1,14478,29350,28955,395,63521
Dublin West,5,david mcguinness,David McGuinness,FALSE,FF,"8,163",running,1,14478,29350,28955,395,63521
Dublin West,5,david hall,David Hall,FALSE,IND,,eliminated,1,14478,29350,28955,395,63521
Dublin West,5,eamon coghlann,Eamonn Coghlan,FALSE,FG,,eliminated,1,14478,29350,28955,395,63521
Dublin West,5,roderic ogorman,Roderic O'Gorman,FALSE,GP,,eliminated,1,14478,29350,28955,395,63521
Dublin West,5,lorraine mulligan,Lorraine Mulligan,FALSE,LAB,,eliminated,1,14478,29350,28955,395,63521
Dublin West,5,sean lyons,Seán Lyons,FALSE,IND,,eliminated,1,14478,29350,28955,395,63521
Dublin West,5,john kidd,John Kidd,FALSE,IND,,eliminated,1,14478,29350,28955,395,63521
Dublin West,5,daniel boyne,Daniel Boyne,FALSE,FN,,eliminated,1,14478,29350,28955,395,63521
Dublin West,6,paul donnelly,Paul Donnelly,FALSE,SF,,eliminated,1,14478,29350,28955,395,63521
Dublin West,6,ruth coppinger,Ruth Coppinger,FALSE,SP,"12,334",elected,1,14478,29350,28955,395,63521
Dublin West,6,david mcguinness,David McGuinness,FALSE,FF,"9,237",running,1,14478,29350,28955,395,63521
Dublin West,6,david hall,David Hall,FALSE,IND,,eliminated,1,14478,29350,28955,395,63521
Dublin West,6,eamon coghlann,Eamonn Coghlan,FALSE,FG,,eliminated,1,14478,29350,28955,395,63521
Dublin West,6,roderic ogorman,Roderic O'Gorman,FALSE,GP,,eliminated,1,14478,29350,28955,395,63521
Dublin West,6,lorraine mulligan,Lorraine Mulligan,FALSE,LAB,,eliminated,1,14478,29350,28955,395,63521
Dublin West,6,sean lyons,Seán Lyons,FALSE,IND,,eliminated,1,14478,29350,28955,395,63521
Dublin West,6,john kidd,John Kidd,FALSE,IND,,eliminated,1,14478,29350,28955,395,63521
Dublin West,6,daniel boyne,Daniel Boyne,FALSE,FN,,eliminated,1,14478,29350,28955,395,63521
