constituency,count,candidate_id,candidate,incumbent,party,votes,status,seats,quota,turnout,tvp,spoilt,electorate
Roscommon-South Leitrim,1,ivan connaughton,Ivan Connaughton,FALSE,FF,"7,334",running,1,16656,33572,33310,262,64873
Roscommon-South Leitrim,1,michael fitzmaurice,Michael Fitzmaurice,FALSE,IND,"6,220",running,1,16656,33572,33310,262,64873
Roscommon-South Leitrim,1,martin kenny,Martin Kenny,FALSE,SF,"5,906",running,1,16656,33572,33310,262,64873
Roscommon-South Leitrim,1,maura hopkins,Maura Hopkins,FALSE,FG,"5,593",running,1,16656,33572,33310,262,64873
Roscommon-South Leitrim,1,john mcdermott,John McDermott,FALSE,IND,"2,944",running,1,16656,33572,33310,262,64873
Roscommon-South Leitrim,1,john kelly,John Kelly,FALSE,LAB,"2,037",running,1,16656,33572,33310,262,64873
Roscommon-South Leitrim,1,emmett corcoran,Emmett Corcoran,FALSE,IND,"1,262",running,1,16656,33572,33310,262,64873
Roscommon-South Leitrim,1,tom crosby,Tom Crosby,FALSE,IND,"1,030",running,1,16656,33572,33310,262,64873
Roscommon-South Leitrim,1,des guckian,Des Guckian,FALSE,IND,902,eliminated,1,16656,33572,33310,262,64873
Roscommon-South Leitrim,1,gerry oboyle,Gerry O'Boyle,FALSE,IND,82,eliminated,1,16656,33572,33310,262,64873
Roscommon-South Leitrim,2,ivan connaughton,Ivan Connaughton,FALSE,FF,"7,502",running,1,16656,33572,33310,262,64873
Roscommon-South Leitrim,2,michael fitzmaurice,Michael Fitzmaurice,FALSE,IND,"6,371",running,1,16656,33572,33310,262,64873
Roscommon-South Leitrim,2,martin kenny,Martin Kenny,FALSE,SF,"6,184",running,1,16656,33572,33310,262,64873
Roscommon-South Leitrim,2,maura hopkins,Maura Hopkins,FALSE,FG,"5,742",running,1,16656,33572,33310,262,64873
Roscommon-South Leitrim,2,john mcdermott,John McDermott,FALSE,IND,"3,018",running,1,16656,33572,33310,262,64873
Roscommon-South Leitrim,2,john kelly,John Kelly,FALSE,LAB,"2,060",running,1,16656,33572,33310,262,64873
Roscommon-South Leitrim,2,emmett corcoran,Emmett Corcoran,FALSE,IND,"1,305",running,1,16656,33572,33310,262,64873
Roscommon-South Leitrim,2,tom crosby,Tom Crosby,FALSE,IND,"1,063",eliminated,1,16656,33572,33310,262,64873
Roscommon-South Leitrim,2,des guckian,Des Guckian,FALSE,IND,,eliminated,1,16656,33572,33310,262,64873
Roscommon-South Leitrim,2,gerry oboyle,Gerry O'Boyle,FALSE,IND,,eliminated,1,16656,33572,33310,262,64873
Roscommon-South Leitrim,3,ivan connaughton,Ivan Connaughton,FALSE,FF,"7,652",running,1,16656,33572,33310,262,64873
Roscommon-South Leitrim,3,michael fitzmaurice,Michael Fitzmaurice,FALSE,IND,"6,625",running,1,16656,33572,33310,262,64873
Roscommon-South Leitrim,3,martin kenny,Martin Kenny,FALSE,SF,"6,283",running,1,16656,33572,33310,262,64873
Roscommon-South Leitrim,3,maura hopkins,Maura Hopkins,FALSE,FG,"5,864",running,1,16656,33572,33310,262,64873
Roscommon-South Leitrim,3,john mcdermott,John McDermott,FALSE,IND,"3,187",running,1,16656,33572,33310,262,64873
Roscommon-South Leitrim,3,john kelly,John Kelly,FALSE,LAB,"2,090",running,1,16656,33572,33310,262,64873
Roscommon-South Leitrim,3,emmett corcoran,Emmett Corcoran,FALSE,IND,"1,483",eliminated,1,16656,33572,33310,262,64873
Roscommon-South Leitrim,3,tom crosby,Tom Crosby,FALSE,IND,,eliminated,1,16656,33572,33310,262,64873
Roscommon-South Leitrim,3,des guckian,Des Guckian,FALSE,IND,,eliminated,1,16656,33572,33310,262,64873
Roscommon-South Leitrim,3,gerry oboyle,Gerry O'Boyle,FALSE,IND,,eliminated,1,16656,33572,33310,262,64873
Roscommon-South Leitrim,4,ivan connaughton,Ivan Connaughton,FALSE,FF,"7,846",running,1,16656,33572,33310,262,64873
Roscommon-South Leitrim,4,michael fitzmaurice,Michael Fitzmaurice,FALSE,IND,"7,075",running,1,16656,33572,33310,262,64873
Roscommon-South Leitrim,4,martin kenny,Martin Kenny,FALSE,SF,"6,447",running,1,16656,33572,33310,262,64873
Roscommon-South Leitrim,4,maura hopkins,Maura Hopkins,FALSE,FG,"6,075",running,1,16656,33572,33310,262,64873
Roscommon-South Leitrim,4,john mcdermott,John McDermott,FALSE,IND,"3,468",eliminated,1,16656,33572,33310,262,64873
Roscommon-South Leitrim,4,john kelly,John Kelly,FALSE,LAB,"2,144",eliminated,1,16656,33572,33310,262,64873
Roscommon-South Leitrim,4,emmett corcoran,Emmett Corcoran,FALSE,IND,,eliminated,1,16656,33572,33310,262,64873
Roscommon-South Leitrim,4,tom crosby,Tom Crosby,FALSE,IND,,eliminated,1,16656,33572,33310,262,64873
Roscommon-South Leitrim,4,des guckian,Des Guckian,FALSE,IND,,eliminated,1,16656,33572,33310,262,64873
Roscommon-South Leitrim,4,gerry oboyle,Gerry O'Boyle,FALSE,IND,,eliminated,1,16656,33572,33310,262,64873
Roscommon-South Leitrim,5,ivan connaughton,Ivan Connaughton,FALSE,FF,"8,863",running,1,16656,33572,33310,262,64873
Roscommon-South Leitrim,5,michael fitzmaurice,Michael Fitzmaurice,FALSE,IND,"9,211",running,1,16656,33572,33310,262,64873
Roscommon-South Leitrim,5,martin kenny,Martin Kenny,FALSE,SF,"7,022",eliminated,1,16656,33572,33310,262,64873
Roscommon-South Leitrim,5,maura hopkins,Maura Hopkins,FALSE,FG,"7,312",running,1,16656,33572,33310,262,64873
Roscommon-South Leitrim,5,john mcdermott,John McDermott,FALSE,IND,,eliminated,1,16656,33572,33310,262,64873
Roscommon-South Leitrim,5,john kelly,John Kelly,FALSE,LAB,,eliminated,1,16656,33572,33310,262,64873
Roscommon-South Leitrim,5,emmett corcoran,Emmett Corcoran,FALSE,IND,,eliminated,1,16656,33572,33310,262,64873
Roscommon-South Leitrim,5,tom crosby,Tom Crosby,FALSE,IND,,eliminated,1,16656,33572,33310,262,64873
Roscommon-South Leitrim,5,des guckian,Des Guckian,FALSE,IND,,eliminated,1,16656,33572,33310,262,64873
Roscommon-South Leitrim,5,gerry oboyle,Gerry O'Boyle,FALSE,IND,,eliminated,1,16656,33572,33310,262,64873
Roscommon-South Leitrim,6,ivan connaughton,Ivan Connaughton,FALSE,FF,"10,083",running,1,16656,33572,33310,262,64873
Roscommon-South Leitrim,6,michael fitzmaurice,Michael Fitzmaurice,FALSE,IND,"11,722",running,1,16656,33572,33310,262,64873
Roscommon-South Leitrim,6,martin kenny,Martin Kenny,FALSE,SF,,eliminated,1,16656,33572,33310,262,64873
Roscommon-South Leitrim,6,maura hopkins,Maura Hopkins,FALSE,FG,"8,476",eliminated,1,16656,33572,33310,262,64873
Roscommon-South Leitrim,6,john mcdermott,John McDermott,FALSE,IND,,eliminated,1,16656,33572,33310,262,64873
Roscommon-South Leitrim,6,john kelly,John Kelly,FALSE,LAB,,eliminated,1,16656,33572,33310,262,64873
Roscommon-South Leitrim,6,emmett corcoran,Emmett Corcoran,FALSE,IND,,eliminated,1,16656,33572,33310,262,64873
Roscommon-South Leitrim,6,tom crosby,Tom Crosby,FALSE,IND,,eliminated,1,16656,33572,33310,262,64873
Roscommon-South Leitrim,6,des guckian,Des Guckian,FALSE,IND,,eliminated,1,16656,33572,33310,262,64873
Roscommon-South Leitrim,6,gerry oboyle,Gerry O'Boyle,FALSE,IND,,eliminated,1,16656,33572,33310,262,64873
Roscommon-South Leitrim,7,ivan connaughton,Ivan Connaughton,FALSE,FF,"12,050",running,1,16656,33572,33310,262,64873
Roscommon-South Leitrim,7,michael fitzmaurice,Michael Fitzmaurice,FALSE,IND,"14,881",elected,1,16656,33572,33310,262,64873
Roscommon-South Leitrim,7,martin kenny,Martin Kenny,FALSE,SF,,eliminated,1,16656,33572,33310,262,64873
Roscommon-South Leitrim,7,maura hopkins,Maura Hopkins,FALSE,FG,,eliminated,1,16656,33572,33310,262,64873
Roscommon-South Leitrim,7,john mcdermott,John McDermott,FALSE,IND,,eliminated,1,16656,33572,33310,262,64873
Roscommon-South Leitrim,7,john kelly,John Kelly,FALSE,LAB,,eliminated,1,16656,33572,33310,262,64873
Roscommon-South Leitrim,7,emmett corcoran,Emmett Corcoran,FALSE,IND,,eliminated,1,16656,33572,33310,262,64873
Roscommon-South Leitrim,7,tom crosby,Tom Crosby,FALSE,IND,,eliminated,1,16656,33572,33310,262,64873
Roscommon-South Leitrim,7,des guckian,Des Guckian,FALSE,IND,,eliminated,1,16656,33572,33310,262,64873
Roscommon-South Leitrim,7,gerry oboyle,Gerry O'Boyle,FALSE,IND,,eliminated,1,16656,33572,33310,262,64873
