constituency,count,candidate_id,candidate,incumbent,party,votes,status,seats,quota,turnout,tvp,spoilt,electorate
Carlow-Kilkenny,1,bobby aylward,Bobby Aylward,FALSE,FF,"18,572",running,1,33418,68900,66834,2066,105449
Carlow-Kilkenny,1,david fitzgerald,David Fitzgerald,FALSE,FG,"13,744",running,1,33418,68900,66834,2066,105449
Carlow-Kilkenny,1,kathleen funchion,Kathleen Funchion,FALSE,SF,"10,806",running,1,33418,68900,66834,2066,105449
Carlow-Kilkenny,1,patrick mckee,Patrick McKee,FALSE,REN,"6,365",running,1,33418,68900,66834,2066,105449
Carlow-Kilkenny,1,willie quinn,Willie Quinn,FALSE,LAB,"4,673",running,1,33418,68900,66834,2066,105449
Carlow-Kilkenny,1,malcolm noonan,Malcolm Noonan,FALSE,GP,"3,549",running,1,33418,68900,66834,2066,105449
Carlow-Kilkenny,1,breda gardner,Breda Gardner,FALSE,IND,"2,792",running,1,33418,68900,66834,2066,105449
Carlow-Kilkenny,1,adrienne wallace,Adrienne Wallace,FALSE,PBP,"2,377",running,1,33418,68900,66834,2066,105449
Carlow-Kilkenny,1,conor macliam,Conor MacLiam,FALSE,AAA,"2,194",running,1,33418,68900,66834,2066,105449
Carlow-Kilkenny,1,peter oloughlin,Peter O'Loughlin,FALSE,IND,930,eliminated,1,33418,68900,66834,2066,105449
Carlow-Kilkenny,1,daithi holohan,Daithí Holohan,FALSE,IND,374,eliminated,1,33418,68900,66834,2066,105449
Carlow-Kilkenny,1,noel walsh,Noel Walsh,FALSE,IND,243,eliminated,1,33418,68900,66834,2066,105449
Carlow-Kilkenny,1,elizabeth hourihane,Elizabeth Hourihane,FALSE,IND,215,eliminated,1,33418,68900,66834,2066,105449
Carlow-Kilkenny,2,bobby aylward,Bobby Aylward,FALSE,FF,"18,713",running,1,33418,68900,66834,2066,105449
Carlow-Kilkenny,2,david fitzgerald,David Fitzgerald,FALSE,FG,"13,826",running,1,33418,68900,66834,2066,105449
Carlow-Kilkenny,2,kathleen funchion,Kathleen Funchion,FALSE,SF,"11,006",running,1,33418,68900,66834,2066,105449
Carlow-Kilkenny,2,patrick mckee,Patrick McKee,FALSE,REN,"6,530",running,1,33418,68900,66834,2066,105449
Carlow-Kilkenny,2,willie quinn,Willie Quinn,FALSE,LAB,"4,803",running,1,33418,68900,66834,2066,105449
Carlow-Kilkenny,2,malcolm noonan,Malcolm Noonan,FALSE,GP,"3,651",running,1,33418,68900,66834,2066,105449
Carlow-Kilkenny,2,breda gardner,Breda Gardner,FALSE,IND,"3,016",running,1,33418,68900,66834,2066,105449
Carlow-Kilkenny,2,adrienne wallace,Adrienne Wallace,FALSE,PBP,"2,644",running,1,33418,68900,66834,2066,105449
Carlow-Kilkenny,2,conor macliam,Conor MacLiam,FALSE,AAA,"2,296",eliminated,1,33418,68900,66834,2066,105449
Carlow-Kilkenny,2,peter oloughlin,Peter O'Loughlin,FALSE,IND,,eliminated,1,33418,68900,66834,2066,105449
Carlow-Kilkenny,2,daithi holohan,Daithí Holohan,FALSE,IND,,eliminated,1,33418,68900,66834,2066,105449
Carlow-Kilkenny,2,noel walsh,Noel Walsh,FALSE,IND,,eliminated,1,33418,68900,66834,2066,105449
Carlow-Kilkenny,2,elizabeth hourihane,Elizabeth Hourihane,FALSE,IND,,eliminated,1,33418,68900,66834,2066,105449
Carlow-Kilkenny,3,bobby aylward,Bobby Aylward,FALSE,FF,"18,845",running,1,33418,68900,66834,2066,105449
Carlow-Kilkenny,3,david fitzgerald,David Fitzgerald,FALSE,FG,"13,895",running,1,33418,68900,66834,2066,105449
Carlow-Kilkenny,3,kathleen funchion,Kathleen Funchion,FALSE,SF,"11,501",running,1,33418,68900,66834,2066,105449
Carlow-Kilkenny,3,patrick mckee,Patrick McKee,FALSE,REN,"6,736",running,1,33418,68900,66834,2066,105449
Carlow-Kilkenny,3,willie quinn,Willie Quinn,FALSE,LAB,"4,853",running,1,33418,68900,66834,2066,105449
Carlow-Kilkenny,3,malcolm noonan,Malcolm Noonan,FALSE,GP,"3,836",running,1,33418,68900,66834,2066,105449
Carlow-Kilkenny,3,breda gardner,Breda Gardner,FALSE,IND,"3,226",eliminated,1,33418,68900,66834,2066,105449
