constituency,count,candidate_id,candidate,incumbent,party,votes,status,seats,quota,turnout,tvp,spoilt,electorate,auto_return_candidate,auto_return_party,auto_return_reason
Carlow-Kilkenny,1,john mcguinness,John McGuinness,TRUE,FF,"10,528",running,5,11669,70514,70009,505,107023,NONE,NONE,NONE
Carlow-Kilkenny,1,bobby aylward,Bobby Aylward,TRUE,FF,"9,366",running,5,11669,70514,70009,505,107023,NONE,NONE,NONE
Carlow-Kilkenny,1,kathleen funchion,Kathleen Funchion,FALSE,SF,"8,700",running,5,11669,70514,70009,505,107023,NONE,NONE,NONE
Carlow-Kilkenny,1,jennifer murnane oconnor,Jennifer Murnane O'Connor,FALSE,FF,"8,373",running,5,11669,70514,70009,505,107023,NONE,NONE,NONE
Carlow-Kilkenny,1,john paul phelan,John Paul Phelan,TRUE,FG,"7,568",running,5,11669,70514,70009,505,107023,NONE,NONE,NONE
Carlow-Kilkenny,1,pat deerin,Pat Deerin,TRUE,FG,"6,562",running,5,11669,70514,70009,505,107023,NONE,NONE,NONE
Carlow-Kilkenny,1,david fitzgerald,David Fitzgerald,FALSE,FG,"5,017",running,5,11669,70514,70009,505,107023,NONE,NONE,NONE
Carlow-Kilkenny,1,ann phelan,Ann Phelan,TRUE,LAB,"4,391",running,5,11669,70514,70009,505,107023,NONE,NONE,NONE
Carlow-Kilkenny,1,malcolm noonan,Malcolm Noonan,FALSE,GP,"2,621",running,5,11669,70514,70009,505,107023,NONE,NONE,NONE
Carlow-Kilkenny,1,patrick mckee,Patrick McKee,FALSE,REN,"2,483",running,5,11669,70514,70009,505,107023,NONE,NONE,NONE
Carlow-Kilkenny,1,adrienne wallace,Adrienne Wallace,FALSE,AAA-PBP,"1,582",running,5,11669,70514,70009,505,107023,NONE,NONE,NONE
Carlow-Kilkenny,1,conor macliam,Conor MacLiam,FALSE,AAA-PBP,"1,120",running,5,11669,70514,70009,505,107023,NONE,NONE,NONE
Carlow-Kilkenny,1,paddy manning,Paddy Manning,FALSE,IND,"1,078",running,5,11669,70514,70009,505,107023,NONE,NONE,NONE
Carlow-Kilkenny,1,keith gilligan,Keith Gilligan,FALSE,IND,456,eliminated,5,11669,70514,70009,505,107023,NONE,NONE,NONE
Carlow-Kilkenny,1,noelg walsh,Noel G. Walsh,FALSE,IND,164,eliminated,5,11669,70514,70009,505,107023,NONE,NONE,NONE
Carlow-Kilkenny,2,john mcguinness,John McGuinness,TRUE,FF,"10,545",running,5,11669,70514,70009,505,107023,NONE,NONE,NONE
Carlow-Kilkenny,2,bobby aylward,Bobby Aylward,TRUE,FF,"9,375",running,5,11669,70514,70009,505,107023,NONE,NONE,NONE
Carlow-Kilkenny,2,kathleen funchion,Kathleen Funchion,FALSE,SF,"8,838",running,5,11669,70514,70009,505,107023,NONE,NONE,NONE
