year,constituency,party,votes,seats
2011,Carlow-Kilkenny,FG,,3
2011,Carlow-Kilkenny,LAB,,1
2011,Carlow-Kilkenny,FF,,1
2011,Cavan-Monaghan,FG,,2
2011,Cavan-Monaghan,FF,,1
2011,Cavan-Monaghan,SF,,1
2011,Clare,FG,,2
2011,Clare,LAB,,1
2011,Clare,FF,,1
2011,Cork East,FG,,2
2011,Cork East,LAB,,1
2011,Cork East,SF,,1
2011,Cork North-Central,FG,,1
2011,Cork North-Central,LAB,,1
2011,Cork North-Central,FF,,1
2011,Cork North-Central,SF,,1
2011,Cork North-West,FG,,2
2011,Cork North-West,FF,,1
2011,Cork South-Central,FG,,2
2011,Cork South-Central,LAB,,1
2011,Cork South-Central,FF,,1
2011,Cork South-West,FG,,2
2011,Cork South-West,LAB,,1
2011,Donegal,FG,,1
2011,Donegal,SF,,1
2011,Donegal,FG,,1
2011,Donegal,SF,,1
2011,Donegal,IND,,1
2011,Dublin Bay North,FG,,2
2011,Dublin Bay North,LAB,,2
2011,Dublin Bay North,IND,,1
2011,Dublin Bay South,LAB,,2
2011,Dublin Bay South,FG,,2
2011,Dublin Central,FG,,1
2011,Dublin Central,LAB,,1
2011,Dublin Central,IND,,1
2011,Dublin Mid-West,FG,,2
2011,Dublin Mid-West,LAB,,2
2011,Dublin Fingal,FG,,2
2011,Dublin Fingal,LAB,,1
2011,Dublin Fingal,SP,,1
2011,Dublin Fingal,FF,,1
2011,Dublin North-West,LAB,,2
2011,Dublin North-West,SF,,1
2011,Dublin South-Central,FG,,1
2011,Dublin South-Central,LAB,,2
2011,Dublin South-Central,AAA-PBP,,1
2011,Dublin South-West,LAB,,2
2011,Dublin South-West,FG,,2
2011,Dublin South-West,SF,,1
2011,Dublin West,FG,,1
2011,Dublin West,FF,,1
2011,Dublin West,LAB,,1
2011,Dublin West,SP,,1
2011,Dublin Rathdown,FG,,1
2011,Dublin Rathdown,LAB,,1
2011,Dublin Rathdown,IND,,1
2011,Dún Laoghaire,FG,,2
2011,Dún Laoghaire,LAB,,1
2011,Dún Laoghaire,AAA-PBP,,1
2011,Galway East,FG,,2
2011,Galway East,FF,,1
2011,Galway West,FG,,2
2011,Galway West,LAB,,1
2011,Galway West,FF,,1
2011,Galway West,IND,,1
2011,Kerry,FG,,2
2011,Kerry,SF,,1
2011,Kerry,LAB,,1
2011,Kerry,IND,,1
2011,Kildare North,FG,,2
2011,Kildare North,LAB,,1
2011,Kildare North,IND,,1
2011,Kildare South,FG,,1
2011,Kildare South,LAB,,1
2011,Kildare South,FF,,1
2011,Laois,SF,,1
2011,Laois,FF,,1
2011,Laois,FG,,1
2011,Offaly,FF,,1
2011,Offaly,FG,,1
2011,Offaly,IND,,1
2011,Limerick County,FG,,2
2011,Limerick County,FF,,1
2011,Limerick City,FG,,2
2011,Limerick City,FF,,1
2011,Limerick City,LAB,,1
2011,Longford-Westmeath,FG,,2
2011,Longford-Westmeath,LAB,,1
2011,Longford-Westmeath,FF,,1
2011,Louth,FG,,2
2011,Louth,LAB,,1
2011,Louth,FF,,1
2011,Louth,SF,,1
2011,Mayo,FG,,3
2011,Mayo,FF,,1
2011,Meath East,FG,,2
2011,Meath East,LAB,,1
2011,Meath West,FG,,2
2011,Meath West,SF,,1
2011,Roscommon-Galway,FG,,2
2011,Roscommon-Galway,IND,,1
2011,Sligo-Leitrim,FG,,2
2011,Sligo-Leitrim,SF,,1
2011,Sligo-Leitrim,FF,,1
2011,Tipperary,FG,,2
2011,Tipperary,IND,,2
2011,Tipperary,LAB,,1
2011,Waterford,FG,,2
2011,Waterford,LAB,,1
2011,Waterford,IND,,1
2011,Wexford,FG,,2
2011,Wexford,LAB,,1
2011,Wexford,FF,,1
2011,Wexford,IND,,1
2011,Wicklow,FG,,3
2011,Wicklow,LAB,,1
2011,Wicklow,IND,,1
