constituency,count,candidate_id,candidate,incumbent,party,votes,status,seats,quota,turnout,tvp,spoilt,electorate
Cork North-Central,1,padraig osullivan,Pádraig O'Sullivan,FALSE,FF,"7,148",running,1,12784,25854,25567,287,85524
Cork North-Central,1,colm burke,Colm Burke,FALSE,FG,"5,385",running,1,12784,25854,25567,287,85524
Cork North-Central,1,thomas gould,Thomas Gould,FALSE,SF,"5,041",running,1,12784,25854,25567,287,85524
Cork North-Central,1,john maher,John Maher,FALSE,LAB,"2,482",running,1,12784,25854,25567,287,85524
Cork North-Central,1,oliver moran,Oliver Moran,FALSE,GP,"1,883",running,1,12784,25854,25567,287,85524
Cork North-Central,1,fiona ryan,Fiona Ryan,FALSE,PBPS,"1,121",running,1,12784,25854,25567,287,85524
Cork North-Central,1,finian toomey,Finian Toomey,FALSE,AON,"1,008",running,1,12784,25854,25567,287,85524
Cork North-Central,1,sinead halpin,Sinéad Halpin,FALSE,SD,644,running,1,12784,25854,25567,287,85524
Cork North-Central,1,martin condon,Martin Condon,FALSE,IND,291,running,1,12784,25854,25567,287,85524
Cork North-Central,1,james coughlan,James Coughlan,FALSE,WP,281,running,1,12784,25854,25567,287,85524
Cork North-Central,1,thomas kiely,Thomas Kiely,FALSE,IND,234,running,1,12784,25854,25567,287,85524
Cork North-Central,1,charlie keddy,Charlie Keddy,FALSE,IND,49,eliminated,1,12784,25854,25567,287,85524
Cork North-Central,2,padraig osullivan,Pádraig O'Sullivan,FALSE,FF,"7,154",running,1,12784,25854,25567,287,85524
Cork North-Central,2,colm burke,Colm Burke,FALSE,FG,"5,386",running,1,12784,25854,25567,287,85524
Cork North-Central,2,thomas gould,Thomas Gould,FALSE,SF,"5,042",running,1,12784,25854,25567,287,85524
Cork North-Central,2,john maher,John Maher,FALSE,LAB,"2,485",running,1,12784,25854,25567,287,85524
Cork North-Central,2,oliver moran,Oliver Moran,FALSE,GP,"1,884",running,1,12784,25854,25567,287,85524
Cork North-Central,2,fiona ryan,Fiona Ryan,FALSE,PBPS,"1,125",running,1,12784,25854,25567,287,85524
Cork North-Central,2,finian toomey,Finian Toomey,FALSE,AON,"1,015",running,1,12784,25854,25567,287,85524
Cork North-Central,2,sinead halpin,Sinéad Halpin,FALSE,SD,644,running,1,12784,25854,25567,287,85524
Cork North-Central,2,martin condon,Martin Condon,FALSE,IND,294,running,1,12784,25854,25567,287,85524
Cork North-Central,2,james coughlan,James Coughlan,FALSE,WP,285,running,1,12784,25854,25567,287,85524
