constituency,count,candidate_id,candidate,incumbent,party,votes,status,seats,quota,turnout,tvp,spoilt,electorate
Dublin Fingal,1,joe obrien,Joe O'Brien,FALSE,GP,"5,744",running,1,12546,25344,25090,254,99039
Dublin Fingal,1,lorraine cliffordlee,Lorraine Clifford-Lee,FALSE,FF,"4,631",running,1,12546,25344,25090,254,99039
Dublin Fingal,1,duncan smith,Duncan Smith,FALSE,LAB,"3,821",running,1,12546,25344,25090,254,99039
Dublin Fingal,1,james reilly,James Reilly,FALSE,FG,"3,707",running,1,12546,25344,25090,254,99039
Dublin Fingal,1,dean mulligan,Dean Mulligan,FALSE,I4C,"2,550",running,1,12546,25344,25090,254,99039
Dublin Fingal,1,ann graves,Ann Graves,FALSE,SF,"1,327",running,1,12546,25344,25090,254,99039
Dublin Fingal,1,tracey carey,Tracey Carey,FALSE,SD,"1,106",running,1,12546,25344,25090,254,99039
Dublin Fingal,1,gemma odoherty,Gemma O'Doherty,FALSE,IND,"1,026",running,1,12546,25344,25090,254,99039
Dublin Fingal,1,glenn brady,Glenn Brady,FALSE,IND,670,running,1,12546,25344,25090,254,99039
Dublin Fingal,1,peadar okelly,Peadar O'Kelly,FALSE,IND,350,eliminated,1,12546,25344,25090,254,99039
Dublin Fingal,1,charlie keddy,Charlie Keddy,FALSE,IND,112,eliminated,1,12546,25344,25090,254,99039
Dublin Fingal,1,comrac mckay,Cormac McKay,FALSE,IND,46,eliminated,1,12546,25344,25090,254,99039
Dublin Fingal,2,joe obrien,Joe O'Brien,FALSE,GP,"5,837",running,1,12546,25344,25090,254,99039
Dublin Fingal,2,lorraine cliffordlee,Lorraine Clifford-Lee,FALSE,FF,"4,672",running,1,12546,25344,25090,254,99039
Dublin Fingal,2,duncan smith,Duncan Smith,FALSE,LAB,"3,866",running,1,12546,25344,25090,254,99039
Dublin Fingal,2,james reilly,James Reilly,FALSE,FG,"3,753",running,1,12546,25344,25090,254,99039
Dublin Fingal,2,dean mulligan,Dean Mulligan,FALSE,I4C,"2,606",running,1,12546,25344,25090,254,99039
Dublin Fingal,2,ann graves,Ann Graves,FALSE,SF,"1,361",running,1,12546,25344,25090,254,99039
Dublin Fingal,2,tracey carey,Tracey Carey,FALSE,SD,"1,125",running,1,12546,25344,25090,254,99039
Dublin Fingal,2,gemma odoherty,Gemma O'Doherty,FALSE,IND,"1,088",running,1,12546,25344,25090,254,99039
Dublin Fingal,2,glenn brady,Glenn Brady,FALSE,IND,726,eliminated,1,12546,25344,25090,254,99039
Dublin Fingal,2,peadar okelly,Peadar O'Kelly,FALSE,IND,,eliminated,1,12546,25344,25090,254,99039
Dublin Fingal,2,charlie keddy,Charlie Keddy,FALSE,IND,,eliminated,1,12546,25344,25090,254,99039
Dublin Fingal,2,comrac mckay,Cormac McKay,FALSE,IND,,eliminated,1,12546,25344,25090,254,99039
Dublin Fingal,3,joe obrien,Joe O'Brien,FALSE,GP,"5,965",running,1,12546,25344,25090,254,99039
Dublin Fingal,3,lorraine cliffordlee,Lorraine Clifford-Lee,FALSE,FF,"4,766",running,1,12546,25344,25090,254,99039
Dublin Fingal,3,duncan smith,Duncan Smith,FALSE,LAB,"3,926",running,1,12546,25344,25090,254,99039
Dublin Fingal,3,james reilly,James Reilly,FALSE,FG,"3,803",running,1,12546,25344,25090,254,99039
Dublin Fingal,3,dean mulligan,Dean Mulligan,FALSE,I4C,"2,745",running,1,12546,25344,25090,254,99039
Dublin Fingal,3,ann graves,Ann Graves,FALSE,SF,"1,402",running,1,12546,25344,25090,254,99039
Dublin Fingal,3,tracey carey,Tracey Carey,FALSE,SD,"1,214",running,1,12546,25344,25090,254,99039
Dublin Fingal,3,gemma odoherty,Gemma O'Doherty,FALSE,IND,"1,149",eliminated,1,12546,25344,25090,254,99039
Dublin Fingal,3,glenn brady,Glenn Brady,FALSE,IND,,eliminated,1,12546,25344,25090,254,99039
Dublin Fingal,3,peadar okelly,Peadar O'Kelly,FALSE,IND,,eliminated,1,12546,25344,25090,254,99039
Dublin Fingal,3,charlie keddy,Charlie Keddy,FALSE,IND,,eliminated,1,12546,25344,25090,254,99039
Dublin Fingal,3,comrac mckay,Cormac McKay,FALSE,IND,,eliminated,1,12546,25344,25090,254,99039
Dublin Fingal,4,joe obrien,Joe O'Brien,FALSE,GP,"6,091",running,1,12546,25344,25090,254,99039
Dublin Fingal,4,lorraine cliffordlee,Lorraine Clifford-Lee,FALSE,FF,"4,929",running,1,12546,25344,25090,254,99039
Dublin Fingal,4,duncan smith,Duncan Smith,FALSE,LAB,"4,008",running,1,12546,25344,25090,254,99039
Dublin Fingal,4,james reilly,James Reilly,FALSE,FG,"3,882",running,1,12546,25344,25090,254,99039
Dublin Fingal,4,dean mulligan,Dean Mulligan,FALSE,I4C,"2,909",running,1,12546,25344,25090,254,99039
Dublin Fingal,4,ann graves,Ann Graves,FALSE,SF,"1,481",eliminated,1,12546,25344,25090,254,99039
Dublin Fingal,4,tracey carey,Tracey Carey,FALSE,SD,"1,273",eliminated,1,12546,25344,25090,254,99039
Dublin Fingal,4,gemma odoherty,Gemma O'Doherty,FALSE,IND,,eliminated,1,12546,25344,25090,254,99039
Dublin Fingal,4,glenn brady,Glenn Brady,FALSE,IND,,eliminated,1,12546,25344,25090,254,99039
Dublin Fingal,4,peadar okelly,Peadar O'Kelly,FALSE,IND,,eliminated,1,12546,25344,25090,254,99039
Dublin Fingal,4,charlie keddy,Charlie Keddy,FALSE,IND,,eliminated,1,12546,25344,25090,254,99039
Dublin Fingal,4,comrac mckay,Cormac McKay,FALSE,IND,,eliminated,1,12546,25344,25090,254,99039
Dublin Fingal,5,joe obrien,Joe O'Brien,FALSE,GP,"6,784",running,1,12546,25344,25090,254,99039
Dublin Fingal,5,lorraine cliffordlee,Lorraine Clifford-Lee,FALSE,FF,"5,252",running,1,12546,25344,25090,254,99039
Dublin Fingal,5,duncan smith,Duncan Smith,FALSE,LAB,"4,347",running,1,12546,25344,25090,254,99039
Dublin Fingal,5,james reilly,James Reilly,FALSE,FG,"3,992",running,1,12546,25344,25090,254,99039
Dublin Fingal,5,dean mulligan,Dean Mulligan,FALSE,I4C,"3,754",eliminated,1,12546,25344,25090,254,99039
Dublin Fingal,5,ann graves,Ann Graves,FALSE,SF,,eliminated,1,12546,25344,25090,254,99039
Dublin Fingal,5,tracey carey,Tracey Carey,FALSE,SD,,eliminated,1,12546,25344,25090,254,99039
Dublin Fingal,5,gemma odoherty,Gemma O'Doherty,FALSE,IND,,eliminated,1,12546,25344,25090,254,99039
Dublin Fingal,5,glenn brady,Glenn Brady,FALSE,IND,,eliminated,1,12546,25344,25090,254,99039
Dublin Fingal,5,peadar okelly,Peadar O'Kelly,FALSE,IND,,eliminated,1,12546,25344,25090,254,99039
Dublin Fingal,5,charlie keddy,Charlie Keddy,FALSE,IND,,eliminated,1,12546,25344,25090,254,99039
Dublin Fingal,5,comrac mckay,Cormac McKay,FALSE,IND,,eliminated,1,12546,25344,25090,254,99039
Dublin Fingal,6,joe obrien,Joe O'Brien,FALSE,GP,"7,984",running,1,12546,25344,25090,254,99039
Dublin Fingal,6,lorraine cliffordlee,Lorraine Clifford-Lee,FALSE,FF,"5,648",running,1,12546,25344,25090,254,99039
Dublin Fingal,6,duncan smith,Duncan Smith,FALSE,LAB,"4,999",running,1,12546,25344,25090,254,99039
Dublin Fingal,6,james reilly,James Reilly,FALSE,FG,"4,200",eliminated,1,12546,25344,25090,254,99039
Dublin Fingal,6,dean mulligan,Dean Mulligan,FALSE,I4C,,eliminated,1,12546,25344,25090,254,99039
Dublin Fingal,6,ann graves,Ann Graves,FALSE,SF,,eliminated,1,12546,25344,25090,254,99039
Dublin Fingal,6,tracey carey,Tracey Carey,FALSE,SD,,eliminated,1,12546,25344,25090,254,99039
Dublin Fingal,6,gemma odoherty,Gemma O'Doherty,FALSE,IND,,eliminated,1,12546,25344,25090,254,99039
Dublin Fingal,6,glenn brady,Glenn Brady,FALSE,IND,,eliminated,1,12546,25344,25090,254,99039
Dublin Fingal,6,peadar okelly,Peadar O'Kelly,FALSE,IND,,eliminated,1,12546,25344,25090,254,99039
Dublin Fingal,6,charlie keddy,Charlie Keddy,FALSE,IND,,eliminated,1,12546,25344,25090,254,99039
Dublin Fingal,6,comrac mckay,Cormac McKay,FALSE,IND,,eliminated,1,12546,25344,25090,254,99039
Dublin Fingal,7,joe obrien,Joe O'Brien,FALSE,GP,"9,183",running,1,12546,25344,25090,254,99039
Dublin Fingal,7,lorraine cliffordlee,Lorraine Clifford-Lee,FALSE,FF,"6,547",running,1,12546,25344,25090,254,99039
Dublin Fingal,7,duncan smith,Duncan Smith,FALSE,LAB,"6,300",eliminated,1,12546,25344,25090,254,99039
Dublin Fingal,7,james reilly,James Reilly,FALSE,FG,,eliminated,1,12546,25344,25090,254,99039
Dublin Fingal,7,dean mulligan,Dean Mulligan,FALSE,I4C,,eliminated,1,12546,25344,25090,254,99039
Dublin Fingal,7,ann graves,Ann Graves,FALSE,SF,,eliminated,1,12546,25344,25090,254,99039
Dublin Fingal,7,tracey carey,Tracey Carey,FALSE,SD,,eliminated,1,12546,25344,25090,254,99039
Dublin Fingal,7,gemma odoherty,Gemma O'Doherty,FALSE,IND,,eliminated,1,12546,25344,25090,254,99039
Dublin Fingal,7,glenn brady,Glenn Brady,FALSE,IND,,eliminated,1,12546,25344,25090,254,99039
Dublin Fingal,7,peadar okelly,Peadar O'Kelly,FALSE,IND,,eliminated,1,12546,25344,25090,254,99039
Dublin Fingal,7,charlie keddy,Charlie Keddy,FALSE,IND,,eliminated,1,12546,25344,25090,254,99039
Dublin Fingal,7,comrac mckay,Cormac McKay,FALSE,IND,,eliminated,1,12546,25344,25090,254,99039
Dublin Fingal,8,joe obrien,Joe O'Brien,FALSE,GP,"12,315",elected,1,12546,25344,25090,254,99039
Dublin Fingal,8,lorraine cliffordlee,Lorraine Clifford-Lee,FALSE,FF,"7,754",running,1,12546,25344,25090,254,99039
Dublin Fingal,8,duncan smith,Duncan Smith,FALSE,LAB,,eliminated,1,12546,25344,25090,254,99039
Dublin Fingal,8,james reilly,James Reilly,FALSE,FG,,eliminated,1,12546,25344,25090,254,99039
Dublin Fingal,8,dean mulligan,Dean Mulligan,FALSE,I4C,,eliminated,1,12546,25344,25090,254,99039
Dublin Fingal,8,ann graves,Ann Graves,FALSE,SF,,eliminated,1,12546,25344,25090,254,99039
Dublin Fingal,8,tracey carey,Tracey Carey,FALSE,SD,,eliminated,1,12546,25344,25090,254,99039
