constituency,count,candidate_id,candidate,incumbent,party,votes,status,seats,quota,turnout,tvp,spoilt,electorate
Dublin Mid-West,1,mark ward,Mark Ward,FALSE,SF,4622,running,1,9619,19447,19237,210,73152
Dublin Mid-West,1,emer higgins,Emer Higgins,FALSE,FG,3576,running,1,9619,19447,19237,210,73152
Dublin Mid-West,1,paul gogarty,Paul Gogarty,FALSE,IND,2435,running,1,9619,19447,19237,210,73152
Dublin Mid-West,1,shane moynihan,Shane Moynihan,FALSE,FF,2264,running,1,9619,19447,19237,210,73152
Dublin Mid-West,1,francis timmons,Francis Timmons,FALSE,IND,1299,running,1,9619,19447,19237,210,73152
Dublin Mid-West,1,joanna tuffy,Joanna Tuffy,FALSE,LAB,1294,running,1,9619,19447,19237,210,73152
Dublin Mid-West,1,peter kavanagh,Peter Kavanagh,FALSE,GP,1222,running,1,9619,19447,19237,210,73152
Dublin Mid-West,1,kellie sweeney,Kellie Sweeney,FALSE,PBPS,983,running,1,9619,19447,19237,210,73152
Dublin Mid-West,1,annemarie mcnally,Anne-Marie McNally,FALSE,SD,788,running,1,9619,19447,19237,210,73152
Dublin Mid-West,1,david gardiner,David Gardiner,FALSE,WP,317,eliminated,1,9619,19447,19237,210,73152
Dublin Mid-West,1,ruth nolan,Ruth Nolan,FALSE,I4C,271,eliminated,1,9619,19447,19237,210,73152
Dublin Mid-West,1,charlie keddy,Charlie Keddy,FALSE,IND,95,eliminated,1,9619,19447,19237,210,73152
Dublin Mid-West,1,peter madden,Peter Madden,FALSE,IND,71,eliminated,1,9619,19447,19237,210,73152
Dublin Mid-West,2,mark ward,Mark Ward,FALSE,SF,4729,running,1,9619,19447,19237,210,73152
Dublin Mid-West,2,emer higgins,Emer Higgins,FALSE,FG,3603,running,1,9619,19447,19237,210,73152
Dublin Mid-West,2,paul gogarty,Paul Gogarty,FALSE,IND,2557,running,1,9619,19447,19237,210,73152
Dublin Mid-West,2,shane moynihan,Shane Moynihan,FALSE,FF,2304,running,1,9619,19447,19237,210,73152
Dublin Mid-West,2,francis timmons,Francis Timmons,FALSE,IND,1365,running,1,9619,19447,19237,210,73152
Dublin Mid-West,2,joanna tuffy,Joanna Tuffy,FALSE,LAB,1333,running,1,9619,19447,19237,210,73152
Dublin Mid-West,2,peter kavanagh,Peter Kavanagh,FALSE,GP,1268,running,1,9619,19447,19237,210,73152
Dublin Mid-West,2,kellie sweeney,Kellie Sweeney,FALSE,PBPS,1138,running,1,9619,19447,19237,210,73152
