election,constituency,party,votes,seats,,,,,,
2016,Carlow-Kilkenny,FF,28267,2,,,,,,
2016,Carlow-Kilkenny,SF,8700,1,,,,,,
2016,Carlow-Kilkenny,FG,19147,2,,,,,,
2016,Carlow-Kilkenny,LAB,4391,,,,,,,
2016,Carlow-Kilkenny,GP,2621,,,,,,,
2016,Carlow-Kilkenny,REN,2483,,,,,,,
2016,Carlow-Kilkenny,PBPS,2702,,,,,,,
2016,Carlow-Kilkenny,IND,1698,,,,,,,
2016,Cavan-Monaghan,FG,18957,1,,,,,,
2016,Cavan-Monaghan,SF,16126,1,,,,,,
2016,Cavan-Monaghan,FF,17952,2,,,,,,
2016,Cavan-Monaghan,GP,1251,,,,,,,
2016,Cavan-Monaghan,IND,5364,,,,,,,
2016,Clare,FF,19580,1,,,,,,
2016,Clare,FG,15157,2,,,,,,
2016,Clare,LAB,4472,,,,,,,
2016,Clare,SF,4216,,,,,,,
2016,Clare,GP,1700,,,,,,,
2016,Clare,FN,1154,,,,,,,
2016,Clare,IND,13171,1,,,,,,
2016,Cork East,FF,12858,1,,,,,,
2016,Cork East,FG,15038,1,,,,,,
2016,Cork East,LAB,6949,1,,,,,,
2016,Cork East,SF,5358,1,,,,,,
2016,Cork East,REN,3244,,,,,,,
2016,Cork East,PBPS,1999,,,,,,,
2016,Cork East,SD,1386,,,,,,,
2016,Cork East,GP,806,,,,,,,
2016,Cork East,IND,5168,,,,,,,
2016,Cork North-Central,FF,14286,1,,,,,,
2016,Cork North-Central,PBPS,8041,1,,,,,,
2016,Cork North-Central,SF,10004,1,,,,,,
2016,Cork North-Central,FG,9105,1,,,,,,
2016,Cork North-Central,LAB,3723,,,,,,,
2016,Cork North-Central,GP,1693,,,,,,,
2016,Cork North-Central,WP,1419,,,,,,,
2016,Cork North-Central,REN,1120,,,,,,,
2016,Cork North-Central,IND,1818,,,,,,,
2016,Cork North-West,CP,185,,,,,,,
2016,Cork North-West,FF,16256,2,,,,,,
2016,Cork North-West,FG,15106,1,,,,,,
2016,Cork North-West,GP,1354,,,,,,,
2016,Cork North-West,REN,1568,,,,,,,
2016,Cork North-West,SF,3238,,,,,,,
2016,Cork North-West,IND,9251,,,,,,,
2016,Cork South-Central,PBPS,1732,,,,,,,
2016,Cork South-Central,FF,23141,2,,,,,,
2016,Cork South-Central,FG,14384,1,,,,,,
2016,Cork South-Central,GP,2064,,,,,,,
2016,Cork South-Central,LAB,2417,,,,,,,
2016,Cork South-Central,REN,887,,,,,,,
2016,Cork South-Central,SF,6986,1,,,,,,
2016,Cork South-Central,IND,4071,,,,,,,
2016,Cork South-West,FF,8482,1,,,,,,
2016,Cork South-West,FG,13803,1,,,,,,
2016,Cork South-West,GP,752,,,,,,,
2016,Cork South-West,LAB,3035,,,,,,,
2016,Cork South-West,SF,3656,,,,,,,
2016,Cork South-West,IND,13530,1,,,,,,
2016,Donegal,FF,22731,2,,,,,,
2016,Donegal,FG,11243,1,,,,,,
2016,Donegal,FN,70,,,,,,,
2016,Donegal,GP,428,,,,,,,
2016,Donegal,IA,1836,,,,,,,
2016,Donegal,SF,20178,1,,,,,,
2016,Donegal,IND,16817,1,,2016,Roscommon-Galway,FF,8819,1
,Dublin Bay North,PBPS,6645,,,2016,Roscommon-Galway,FG,6812,
,Dublin Bay North,FF,11367,1,,2016,Roscommon-Galway,SF,3075,
,Dublin Bay North,FG,14517,1,,2016,Roscommon-Galway,LAB,1211,
,Dublin Bay North,GP,1024,,,2016,Roscommon-Galway,PBPS,982,
,Dublin Bay North,IND,13401,1,,2016,Roscommon-Galway,REN,520,
,Dublin Bay North,I4C,5361,1,,2016,Roscommon-Galway,GP,286,
,Dublin Bay North,LAB,5675,,,2016,Roscommon-Galway,IND,23975,2
,Dublin Bay North,REN,3205,,,,,,,
,Dublin Bay North,SF,8566,1,,,,,,
,Dublin Bay North,SD,3864,,,,,,,
,Dublin Bay South,PBPS,1728,,,,,,,
,Dublin Bay South,FF,4575,1,,,,,,
,Dublin Bay South,FG,11966,2,,,,,,
,Dublin Bay South,GP,4529,1,,,,,,
,Dublin Bay South,IND,2045,,,,,,,
,Dublin Bay South,LAB,4205,,,,,,,
,Dublin Bay South,REN,4229,,,,,,,
,Dublin Bay South,SF,3774,,,,,,,
,Dublin Bay South,SD,2652,,,,,,,
,Dublin Central,PBPS,721,,,,,,,
,Dublin Central,FF,2508,,,,,,,
,Dublin Central,FG,3226,1,,,,,,
,Dublin Central,GP,644,,,,,,,
,Dublin Central,IND,5785,1,,,,,,
,Dublin Central,LAB,2092,,,,,,,
,Dublin Central,REN,330,,,,,,,
,Dublin Central,SF,5770,1,,,,,,
,Dublin Central,SD,2307,,,,,,,
,Dublin Central,WP,303,,,,,,,
,Dublin Fingal,PBPS,2067,,,,,,,
,Dublin Fingal,FF,14185,1,,,,,,
,Dublin Fingal,FG,12180,1,,,,,,
,Dublin Fingal,GP,2783,,,,,,,
,Dublin Fingal,IND,1450,,,,,,,
,Dublin Fingal,IA,2503,,,,,,,
,Dublin Fingal,I4C,11892,1,,,,,,
,Dublin Fingal,LAB,6009,1,,,,,,
,Dublin Fingal,REN,2091,,,,,,,
,Dublin Fingal,SF,5228,1,,,,,,
,Dublin Mid-West,PBPS,4629,1,,,,,,
