constituency,count,candidate_id,candidate,incumbent,party,votes,status,seats,quota,turnout,tvp,spoilt,electorate
Dublin Bay South,1,ivana bacik,Ivana Bacik,FALSE,LAB,"8,131",running,1,13442,27044,26882,162,77924
Dublin Bay South,1,james goeghegan,James Geoghegan,FALSE,FG,"7,052",running,1,13442,27044,26882,162,77924
Dublin Bay South,1,lynn boylan,Lynn Boylan,FALSE,SF,"4,245",running,1,13442,27044,26882,162,77924
Dublin Bay South,1,claire byrne,Claire Byrne,FALSE,GP,"2,157",running,1,13442,27044,26882,162,77924
Dublin Bay South,1,deirdre conroy,Deirdre Conroy,FALSE,FF,"1,247",running,1,13442,27044,26882,162,77924
Dublin Bay South,1,mannix flynn,Mannix Flynn,FALSE,IND,879,running,1,13442,27044,26882,162,77924
Dublin Bay South,1,sarah durcan,Sarah Durcan,FALSE,SD,849,running,1,13442,27044,26882,162,77924
Dublin Bay South,1,brigid purcell,Brigid Purcell,FALSE,PBPS,759,running,1,13442,27044,26882,162,77924
Dublin Bay South,1,mairead toibin,Mairéad Tóibín,FALSE,AON,740,running,1,13442,27044,26882,162,77924
Dublin Bay South,1,peter dooley,Peter Dooley,FALSE,IND,261,running,1,13442,27044,26882,162,77924
Dublin Bay South,1,justin barrett,Justin Barrett,FALSE,NP,183,running,1,13442,27044,26882,162,77924
Dublin Bay South,1,dolores cahill,Dolores Cahill,FALSE,IND,169,running,1,13442,27044,26882,162,77924
Dublin Bay South,1,jacqui gilbourne,Jacqui Gilbourne,FALSE,REN,164,running,1,13442,27044,26882,162,77924
Dublin Bay South,1,john keigher,John Keigher,FALSE,IND,23,eliminated,1,13442,27044,26882,162,77924
Dublin Bay South,1,colm okeeffe,Colm O'Keeffe,FALSE,IND,23,eliminated,1,13442,27044,26882,162,77924
Dublin Bay South,2,ivana bacik,Ivana Bacik,FALSE,LAB,"8,134",running,1,13442,27044,26882,162,77924
Dublin Bay South,2,james goeghegan,James Geoghegan,FALSE,FG,"7,054",running,1,13442,27044,26882,162,77924
Dublin Bay South,2,lynn boylan,Lynn Boylan,FALSE,SF,"4,245",running,1,13442,27044,26882,162,77924
Dublin Bay South,2,claire byrne,Claire Byrne,FALSE,GP,"2,164",running,1,13442,27044,26882,162,77924
Dublin Bay South,2,deirdre conroy,Deirdre Conroy,FALSE,FF,"1,250",running,1,13442,27044,26882,162,77924
Dublin Bay South,2,mannix flynn,Mannix Flynn,FALSE,IND,882,running,1,13442,27044,26882,162,77924
Dublin Bay South,2,sarah durcan,Sarah Durcan,FALSE,SD,852,running,1,13442,27044,26882,162,77924
Dublin Bay South,2,brigid purcell,Brigid Purcell,FALSE,PBPS,762,running,1,13442,27044,26882,162,77924
Dublin Bay South,2,mairead toibin,Mairéad Tóibín,FALSE,AON,745,running,1,13442,27044,26882,162,77924
Dublin Bay South,2,peter dooley,Peter Dooley,FALSE,IND,266,running,1,13442,27044,26882,162,77924
Dublin Bay South,2,justin barrett,Justin Barrett,FALSE,NP,186,running,1,13442,27044,26882,162,77924
Dublin Bay South,2,dolores cahill,Dolores Cahill,FALSE,IND,171,running,1,13442,27044,26882,162,77924
Dublin Bay South,2,jacqui gilbourne,Jacqui Gilbourne,FALSE,REN,166,eliminated,1,13442,27044,26882,162,77924
Dublin Bay South,2,john keigher,John Keigher,FALSE,IND,,eliminated,1,13442,27044,26882,162,77924
Dublin Bay South,2,colm okeeffe,Colm O'Keeffe,FALSE,IND,,eliminated,1,13442,27044,26882,162,77924
Dublin Bay South,3,ivana bacik,Ivana Bacik,FALSE,LAB,"8,146",running,1,13442,27044,26882,162,77924
Dublin Bay South,3,james goeghegan,James Geoghegan,FALSE,FG,"7,093",running,1,13442,27044,26882,162,77924
Dublin Bay South,3,lynn boylan,Lynn Boylan,FALSE,SF,"4,246",running,1,13442,27044,26882,162,77924
Dublin Bay South,3,claire byrne,Claire Byrne,FALSE,GP,"2,170",running,1,13442,27044,26882,162,77924
Dublin Bay South,3,deirdre conroy,Deirdre Conroy,FALSE,FF,"1,256",running,1,13442,27044,26882,162,77924
Dublin Bay South,3,mannix flynn,Mannix Flynn,FALSE,IND,894,running,1,13442,27044,26882,162,77924
Dublin Bay South,3,sarah durcan,Sarah Durcan,FALSE,SD,854,running,1,13442,27044,26882,162,77924
Dublin Bay South,3,brigid purcell,Brigid Purcell,FALSE,PBPS,768,running,1,13442,27044,26882,162,77924
Dublin Bay South,3,mairead toibin,Mairéad Tóibín,FALSE,AON,798,running,1,13442,27044,26882,162,77924
Dublin Bay South,3,peter dooley,Peter Dooley,FALSE,IND,271,eliminated,1,13442,27044,26882,162,77924
Dublin Bay South,3,justin barrett,Justin Barrett,FALSE,NP,194,eliminated,1,13442,27044,26882,162,77924
Dublin Bay South,3,dolores cahill,Dolores Cahill,FALSE,IND,179,eliminated,1,13442,27044,26882,162,77924
Dublin Bay South,3,jacqui gilbourne,Jacqui Gilbourne,FALSE,REN,,eliminated,1,13442,27044,26882,162,77924
Dublin Bay South,3,john keigher,John Keigher,FALSE,IND,,eliminated,1,13442,27044,26882,162,77924
Dublin Bay South,3,colm okeeffe,Colm O'Keeffe,FALSE,IND,,eliminated,1,13442,27044,26882,162,77924
Dublin Bay South,4,ivana bacik,Ivana Bacik,FALSE,LAB,"8,188",running,1,13442,27044,26882,162,77924
Dublin Bay South,4,james goeghegan,James Geoghegan,FALSE,FG,"7,134",running,1,13442,27044,26882,162,77924
Dublin Bay South,4,lynn boylan,Lynn Boylan,FALSE,SF,"4,357",running,1,13442,27044,26882,162,77924
Dublin Bay South,4,claire byrne,Claire Byrne,FALSE,GP,"2,197",running,1,13442,27044,26882,162,77924
Dublin Bay South,4,deirdre conroy,Deirdre Conroy,FALSE,FF,"1,278",running,1,13442,27044,26882,162,77924
Dublin Bay South,4,mannix flynn,Mannix Flynn,FALSE,IND,975,running,1,13442,27044,26882,162,77924
Dublin Bay South,4,sarah durcan,Sarah Durcan,FALSE,SD,886,running,1,13442,27044,26882,162,77924
Dublin Bay South,4,brigid purcell,Brigid Purcell,FALSE,PBPS,818,eliminated,1,13442,27044,26882,162,77924
