constituency,count,candidate_id,candidate,incumbent,party,votes,status,seats,quota,electorate,turnout,tvp,spoilt
Kimmage C,1,ivana bacik,Ivana Bacik,FALSE,LAB,182,running,1,13442,1909,627,623,4
Kimmage C,1,james goeghegan,James Geoghegan,FALSE,FG,66,running,1,13442,1909,627,623,4
Kimmage C,1,lynn boylan,Lynn Boylan,FALSE,SF,188,running,1,13442,1909,627,623,4
Kimmage C,1,claire byrne,Claire Byrne,FALSE,GP,36,running,1,13442,1909,627,623,4
Kimmage C,1,deirdre conroy,Deirdre Conroy,FALSE,FF,36,running,1,13442,1909,627,623,4
Kimmage C,1,mannix flynn,Mannix Flynn,FALSE,IND,7,running,1,13442,1909,627,623,4
Kimmage C,1,sarah durcan,Sarah Durcan,FALSE,SD,13,running,1,13442,1909,627,623,4
Kimmage C,1,brigid purcell,Brigid Purcell,FALSE,PBPS,31,running,1,13442,1909,627,623,4
Kimmage C,1,mairead toibin,Mairéad Tóibín,FALSE,AON,26,running,1,13442,1909,627,623,4
Kimmage C,1,peter dooley,Peter Dooley,FALSE,IND,16,running,1,13442,1909,627,623,4
Kimmage C,1,justin barrett,Justin Barrett,FALSE,NP,7,running,1,13442,1909,627,623,4
Kimmage C,1,dolores cahill,Dolores Cahill,FALSE,IND,4,running,1,13442,1909,627,623,4
Kimmage C,1,jacqui gilbourne,Jacqui Gilbourne,FALSE,REN,7,running,1,13442,1909,627,623,4
Kimmage C,1,john keigher,John Keigher,FALSE,IND,4,running,1,13442,1909,627,623,4
Kimmage C,1,colm okeeffe,Colm O'Keeffe,FALSE,IND,0,running,1,13442,1909,627,623,4
Mansion House A,1,ivana bacik,Ivana Bacik,FALSE,LAB,70,running,1,13442,2238,605,601,4
Mansion House A,1,james goeghegan,James Geoghegan,FALSE,FG,24,running,1,13442,2238,605,601,4
Mansion House A,1,lynn boylan,Lynn Boylan,FALSE,SF,384,running,1,13442,2238,605,601,4
Mansion House A,1,claire byrne,Claire Byrne,FALSE,GP,12,running,1,13442,2238,605,601,4
Mansion House A,1,deirdre conroy,Deirdre Conroy,FALSE,FF,19,running,1,13442,2238,605,601,4
Mansion House A,1,mannix flynn,Mannix Flynn,FALSE,IND,16,running,1,13442,2238,605,601,4
Mansion House A,1,sarah durcan,Sarah Durcan,FALSE,SD,12,running,1,13442,2238,605,601,4
Mansion House A,1,brigid purcell,Brigid Purcell,FALSE,PBPS,16,running,1,13442,2238,605,601,4
Mansion House A,1,mairead toibin,Mairéad Tóibín,FALSE,AON,17,running,1,13442,2238,605,601,4
Mansion House A,1,peter dooley,Peter Dooley,FALSE,IND,6,running,1,13442,2238,605,601,4
Mansion House A,1,justin barrett,Justin Barrett,FALSE,NP,13,running,1,13442,2238,605,601,4
Mansion House A,1,dolores cahill,Dolores Cahill,FALSE,IND,10,running,1,13442,2238,605,601,4
Mansion House A,1,jacqui gilbourne,Jacqui Gilbourne,FALSE,REN,2,running,1,13442,2238,605,601,4
Mansion House A,1,john keigher,John Keigher,FALSE,IND,0,running,1,13442,2238,605,601,4
Mansion House A,1,colm okeeffe,Colm O'Keeffe,FALSE,IND,0,running,1,13442,2238,605,601,4
Pembroke East A,1,ivana bacik,Ivana Bacik,FALSE,LAB,220,running,1,13442,3590,1582,1566,16
Pembroke East A,1,james goeghegan,James Geoghegan,FALSE,FG,120,running,1,13442,3590,1582,1566,16
Pembroke East A,1,lynn boylan,Lynn Boylan,FALSE,SF,923,running,1,13442,3590,1582,1566,16
Pembroke East A,1,claire byrne,Claire Byrne,FALSE,GP,57,running,1,13442,3590,1582,1566,16
Pembroke East A,1,deirdre conroy,Deirdre Conroy,FALSE,FF,30,running,1,13442,3590,1582,1566,16
Pembroke East A,1,mannix flynn,Mannix Flynn,FALSE,IND,52,running,1,13442,3590,1582,1566,16
Pembroke East A,1,sarah durcan,Sarah Durcan,FALSE,SD,20,running,1,13442,3590,1582,1566,16
Pembroke East A,1,brigid purcell,Brigid Purcell,FALSE,PBPS,59,running,1,13442,3590,1582,1566,16
Pembroke East A,1,mairead toibin,Mairéad Tóibín,FALSE,AON,28,running,1,13442,3590,1582,1566,16
Pembroke East A,1,peter dooley,Peter Dooley,FALSE,IND,18,running,1,13442,3590,1582,1566,16
Pembroke East A,1,justin barrett,Justin Barrett,FALSE,NP,22,running,1,13442,3590,1582,1566,16
Pembroke East A,1,dolores cahill,Dolores Cahill,FALSE,IND,10,running,1,13442,3590,1582,1566,16
Pembroke East A,1,jacqui gilbourne,Jacqui Gilbourne,FALSE,REN,7,running,1,13442,3590,1582,1566,16
Pembroke East A,1,john keigher,John Keigher,FALSE,IND,0,running,1,13442,3590,1582,1566,16
Pembroke East A,1,colm okeeffe,Colm O'Keeffe,FALSE,IND,0,running,1,13442,3590,1582,1566,16
Pembroke East B,1,ivana bacik,Ivana Bacik,FALSE,LAB,376,running,1,13442,3670,1427,1420,7
Pembroke East B,1,james goeghegan,James Geoghegan,FALSE,FG,516,running,1,13442,3670,1427,1420,7
Pembroke East B,1,lynn boylan,Lynn Boylan,FALSE,SF,101,running,1,13442,3670,1427,1420,7
Pembroke East B,1,claire byrne,Claire Byrne,FALSE,GP,89,running,1,13442,3670,1427,1420,7
Pembroke East B,1,deirdre conroy,Deirdre Conroy,FALSE,FF,58,running,1,13442,3670,1427,1420,7
Pembroke East B,1,mannix flynn,Mannix Flynn,FALSE,IND,141,running,1,13442,3670,1427,1420,7
Pembroke East B,1,sarah durcan,Sarah Durcan,FALSE,SD,20,running,1,13442,3670,1427,1420,7
Pembroke East B,1,brigid purcell,Brigid Purcell,FALSE,PBPS,36,running,1,13442,3670,1427,1420,7
Pembroke East B,1,mairead toibin,Mairéad Tóibín,FALSE,AON,68,running,1,13442,3670,1427,1420,7
Pembroke East B,1,peter dooley,Peter Dooley,FALSE,IND,1,running,1,13442,3670,1427,1420,7
Pembroke East B,1,justin barrett,Justin Barrett,FALSE,NP,2,running,1,13442,3670,1427,1420,7
Pembroke East B,1,dolores cahill,Dolores Cahill,FALSE,IND,5,running,1,13442,3670,1427,1420,7
Pembroke East B,1,jacqui gilbourne,Jacqui Gilbourne,FALSE,REN,6,running,1,13442,3670,1427,1420,7
Pembroke East B,1,john keigher,John Keigher,FALSE,IND,0,running,1,13442,3670,1427,1420,7
Pembroke East B,1,colm okeeffe,Colm O'Keeffe,FALSE,IND,1,running,1,13442,3670,1427,1420,7
Pembroke East C,1,ivana bacik,Ivana Bacik,FALSE,LAB,379,running,1,13442,3358,1419,1415,4
Pembroke East C,1,james goeghegan,James Geoghegan,FALSE,FG,568,running,1,13442,3358,1419,1415,4
