constituency,count,candidate_id,candidate,incumbent,party,votes,status,seats,quota,turnout,tvp,spoilt,electorate
Dublin Central,1,janice boylan,Janice Boylan,FALSE,SF,,running,1,,,,,
Dublin Central,1,tony corrigan,Tony Corrigan,FALSE,IND,,running,1,,,,,
Dublin Central,1,daniel ennis,Daniel Ennis,FALSE,SD,,running,1,,,,,
Dublin Central,1,mannix flynn,Mannix Flynn,FALSE,IND,,running,1,,,,,
Dublin Central,1,colm flood,Colm Flood,FALSE,IND,,running,1,,,,,
Dublin Central,1,janet horner,Janet Horner,FALSE,GP,,running,1,,,,,
Dublin Central,1,gerry hutch,Gerry Hutch,FALSE,IND,,running,1,,,,,
Dublin Central,1,ray mcadam,Ray McAdam,FALSE,FG,,running,1,,,,,
Dublin Central,1,eoghan oceannabhain,Eoghan Ó Ceannabháin,FALSE,PBPS,,running,1,,,,,
Dublin Central,1,ruth odea,Ruth O'Dea,FALSE,LAB,,running,1,,,,,
Dublin Central,1,john oleary,John O'Leary,FALSE,IND,,running,1,,,,,
Dublin Central,1,iannoel smyth,Ian Noel Smyth,FALSE,AON,,running,1,,,,,
Dublin Central,1,malachy steenson,Malachy Steenson,FALSE,IND,,running,1,,,,,
Dublin Central,1,john stephens,John Stephens,FALSE,FF,,running,1,,,,,
