,constituency,count,candidate_id,candidate,incumbent,party,votes,status,seats,quota,tvp,spoilt,turnout,electorate
TRUE,Arran Quay A,1,janice boylan,Janice Boylan,FALSE,SF,46,running,1,11943,331,,331,998
,Arran Quay A,1,tony corrigan,Tony Corrigan,FALSE,IND,0,running,1,11943,331,,331,998
,Arran Quay A,1,daniel ennis,Daniel Ennis,FALSE,SD,72,running,1,11943,331,,331,998
,Arran Quay A,1,colm flood,Colm Flood,FALSE,IND,0,running,1,11943,331,,331,998
,Arran Quay A,1,mannix flynn,Mannix Flynn,FALSE,IND,3,running,1,11943,331,,331,998
,Arran Quay A,1,janet horner,Janet Horner,FALSE,GP,48,running,1,11943,331,,331,998
,Arran Quay A,1,gerry hutch,Gerry Hutch,FALSE,IND,20,running,1,11943,331,,331,998
,Arran Quay A,1,ray mcadam,Ray McAdam,FALSE,FG,58,running,1,11943,331,,331,998
,Arran Quay A,1,eoghan oceannabhain,Eoghan Ó Ceannabháin,FALSE,PBPS,40,running,1,11943,331,,331,998
,Arran Quay A,1,ruth odea,Ruth O'Dea,FALSE,LAB,21,running,1,11943,331,,331,998
,Arran Quay A,1,john oleary,John O'Leary,FALSE,IND,0,running,1,11943,331,,331,998
,Arran Quay A,1,iannoel smyth,Ian Noel Smyth,FALSE,AON,5,running,1,11943,331,,331,998
,Arran Quay A,1,malachy steenson,Malachy Steenson,FALSE,IND,17,running,1,11943,331,,331,998
,Arran Quay A,1,john stephens,John Stephens,FALSE,FF,1,running,1,11943,331,,331,998
TRUE,Arran Quay B,1,janice boylan,Janice Boylan,FALSE,SF,91,running,1,11943,502,2,504,2084
,Arran Quay B,1,tony corrigan,Tony Corrigan,FALSE,IND,2,running,1,11943,502,2,504,2084
,Arran Quay B,1,daniel ennis,Daniel Ennis,FALSE,SD,92,running,1,11943,502,2,504,2084
,Arran Quay B,1,colm flood,Colm Flood,FALSE,IND,0,running,1,11943,502,2,504,2084
,Arran Quay B,1,mannix flynn,Mannix Flynn,FALSE,IND,2,running,1,11943,502,2,504,2084
,Arran Quay B,1,janet horner,Janet Horner,FALSE,GP,68,running,1,11943,502,2,504,2084
,Arran Quay B,1,gerry hutch,Gerry Hutch,FALSE,IND,30,running,1,11943,502,2,504,2084
,Arran Quay B,1,ray mcadam,Ray McAdam,FALSE,FG,60,running,1,11943,502,2,504,2084
,Arran Quay B,1,eoghan oceannabhain,Eoghan Ó Ceannabháin,FALSE,PBPS,79,running,1,11943,502,2,504,2084
,Arran Quay B,1,ruth odea,Ruth O'Dea,FALSE,LAB,30,running,1,11943,502,2,504,2084
,Arran Quay B,1,john oleary,John O'Leary,FALSE,IND,0,running,1,11943,502,2,504,2084
,Arran Quay B,1,iannoel smyth,Ian Noel Smyth,FALSE,AON,7,running,1,11943,502,2,504,2084
,Arran Quay B,1,malachy steenson,Malachy Steenson,FALSE,IND,26,running,1,11943,502,2,504,2084
,Arran Quay B,1,john stephens,John Stephens,FALSE,FF,15,running,1,11943,502,2,504,2084
TRUE,Arran Quay C,1,janice boylan,Janice Boylan,FALSE,SF,140,running,1,11943,667,6,673,2170
,Arran Quay C,1,tony corrigan,Tony Corrigan,FALSE,IND,0,running,1,11943,667,6,673,2170
,Arran Quay C,1,daniel ennis,Daniel Ennis,FALSE,SD,121,running,1,11943,667,6,673,2170
