year,constituency,party,votes,seats
2024,Arran Quay A,SF,90,
2024,Arran Quay A,I4C,11,
2024,Arran Quay A,FG,79,
2024,Arran Quay A,FF,18,
2024,Arran Quay A,SD,74,
2024,Arran Quay A,GP,33,
2024,Arran Quay A,IND,35,
2024,Arran Quay A,CPI,3,
2024,Arran Quay A,PBPS,32,
2024,Arran Quay A,LAB,65,
2024,Arran Quay A,AON,8,
2024,Arran Quay B,SF,166,
2024,Arran Quay B,I4C,47,
2024,Arran Quay B,FG,135,
2024,Arran Quay B,FF,34,
2024,Arran Quay B,SD,142,
2024,Arran Quay B,GP,55,
2024,Arran Quay B,IND,54,
2024,Arran Quay B,CPI,1,
2024,Arran Quay B,PBPS,89,
2024,Arran Quay B,LAB,81,
2024,Arran Quay B,AON,10,
2024,Arran Quay B,,,
2024,Arran Quay B,,,
2024,Arran Quay C,SF,251,
2024,Arran Quay C,I4C,30,
2024,Arran Quay C,FG,122,
2024,Arran Quay C,FF,37,
2024,Arran Quay C,SD,152,
2024,Arran Quay C,GP,56,
2024,Arran Quay C,IND,143,
2024,Arran Quay C,CPI,4,
2024,Arran Quay C,PBPS,83,
2024,Arran Quay C,LAB,61,
2024,Arran Quay C,AON,20,
2024,Arran Quay C,,,
2024,Arran Quay C,,,
2024,Arran Quay D,SF,316,
2024,Arran Quay D,I4C,60,
2024,Arran Quay D,FG,150,
2024,Arran Quay D,FF,40,
2024,Arran Quay D,SD,185,
2024,Arran Quay D,GP,73,
2024,Arran Quay D,IND,104,
2024,Arran Quay D,CPI,1,
2024,Arran Quay D,PBPS,90,
2024,Arran Quay D,LAB,99,
2024,Arran Quay D,AON,16,
2024,Arran Quay D,,,
2024,Arran Quay D,,,
2024,Arran Quay E,SF,248,
2024,Arran Quay E,I4C,60,
2024,Arran Quay E,FG,194,
2024,Arran Quay E,FF,60,
2024,Arran Quay E,SD,181,
2024,Arran Quay E,GP,104,
2024,Arran Quay E,IND,76,
2024,Arran Quay E,CPI,1,
2024,Arran Quay E,PBPS,84,
2024,Arran Quay E,LAB,128,
2024,Arran Quay E,AON,20,
2024,Arran Quay E,,,
2024,Arran Quay E,,,
2024,Ballybough A,SF,290,
2024,Ballybough A,I4C,57,
2024,Ballybough A,FG,167,
2024,Ballybough A,FF,47,
2024,Ballybough A,SD,224,
2024,Ballybough A,GP,60,
2024,Ballybough A,IND,477,
2024,Ballybough A,CPI,0,
2024,Ballybough A,PBPS,72,
2024,Ballybough A,LAB,75,
2024,Ballybough A,AON,15,
2024,Ballybough A,,,
2024,Ballybough A,,,
2024,Ballybough B,SF,208,
2024,Ballybough B,I4C,53,
2024,Ballybough B,FG,152,
2024,Ballybough B,FF,51,
2024,Ballybough B,SD,148,
2024,Ballybough B,GP,65,
2024,Ballybough B,IND,129,
2024,Ballybough B,CPI,1,
2024,Ballybough B,PBPS,67,
2024,Ballybough B,LAB,21,
2024,Ballybough B,AON,62,
2024,Ballybough B,,,
2024,Ballybough B,,,
2024,Botanic A,SF,134,
2024,Botanic A,I4C,30,
2024,Botanic A,FG,348,
2024,Botanic A,FF,159,
2024,Botanic A,SD,156,
2024,Botanic A,GP,86,
2024,Botanic A,IND,26,
2024,Botanic A,CPI,1,
2024,Botanic A,PBPS,46,
2024,Botanic A,LAB,114,
2024,Botanic A,AON,42,
2024,Botanic B,SF,124,
2024,Botanic B,I4C,46,
2024,Botanic B,FG,587,
2024,Botanic B,FF,216,
2024,Botanic B,SD,250,
2024,Botanic B,GP,151,
2024,Botanic B,IND,33,
2024,Botanic B,CPI,0,
2024,Botanic B,PBPS,43,
2024,Botanic B,LAB,152,
2024,Botanic B,AON,23,
2024,Botanic C,SF,86,
2024,Botanic C,I4C,34,
2024,Botanic C,FG,257,
2024,Botanic C,FF,136,
2024,Botanic C,SD,155,
2024,Botanic C,GP,104,
2024,Botanic C,IND,52,
2024,Botanic C,CPI,0,
2024,Botanic C,PBPS,31,
2024,Botanic C,LAB,76,
2024,Botanic C,AON,29,
2024,Cabra East A,SF,334,
2024,Cabra East A,I4C,82,
2024,Cabra East A,FG,506,
2024,Cabra East A,FF,191,
2024,Cabra East A,SD,313,
2024,Cabra East A,GP,187,
2024,Cabra East A,IND,115,
2024,Cabra East A,CPI,10,
2024,Cabra East A,PBPS,119,
2024,Cabra East A,LAB,300,
2024,Cabra East A,AON,57,
2024,Cabra East B,SF,602,
2024,Cabra East B,I4C,66,
2024,Cabra East B,FG,189,
2024,Cabra East B,FF,112,
2024,Cabra East B,SD,172,
2024,Cabra East B,GP,117,
2024,Cabra East B,IND,191,
2024,Cabra East B,CPI,137,
2024,Cabra East B,PBPS,79,
2024,Cabra East B,LAB,112,
2024,Cabra East B,AON,36,
2024,Cabra East C,SF,262,
2024,Cabra East C,I4C,50,
2024,Cabra East C,FG,192,
2024,Cabra East C,FF,110,
2024,Cabra East C,SD,130,
2024,Cabra East C,GP,84,
2024,Cabra East C,IND,80,
2024,Cabra East C,CPI,16,
2024,Cabra East C,PBPS,48,
2024,Cabra East C,LAB,124,
2024,Cabra East C,AON,30,
2024,Cabra West A,SF,424,
2024,Cabra West A,I4C,28,
2024,Cabra West A,FG,77,
2024,Cabra West A,FF,80,
2024,Cabra West A,SD,48,
2024,Cabra West A,GP,12,
2024,Cabra West A,IND,105,
2024,Cabra West A,CPI,22,
2024,Cabra West A,PBPS,26,
2024,Cabra West A,LAB,23,
2024,Cabra West A,AON,13,
2024,Cabra West B,SF,596,
2024,Cabra West B,I4C,51,
2024,Cabra West B,FG,90,
2024,Cabra West B,FF,59,
2024,Cabra West B,SD,64,
2024,Cabra West B,GP,19,
2024,Cabra West B,IND,160,
2024,Cabra West B,CPI,58,
2024,Cabra West B,PBPS,29,
2024,Cabra West B,LAB,42,
2024,Cabra West B,AON,15,
2024,Cabra West C,SF,726,
2024,Cabra West C,I4C,85,
2024,Cabra West C,FG,210,
2024,Cabra West C,FF,138,
2024,Cabra West C,SD,168,
2024,Cabra West C,GP,66,
2024,Cabra West C,IND,188,
2024,Cabra West C,CPI,41,
2024,Cabra West C,PBPS,73,
2024,Cabra West C,LAB,108,
2024,Cabra West C,AON,30,
2024,Cabra West D,SF,350,
2024,Cabra West D,I4C,43,
2024,Cabra West D,FG,248,
2024,Cabra West D,FF,124,
2024,Cabra West D,SD,164,
2024,Cabra West D,GP,54,
2024,Cabra West D,IND,117,
2024,Cabra West D,CPI,1,
2024,Cabra West D,PBPS,37,
2024,Cabra West D,LAB,115,
2024,Cabra West D,AON,35,
2024,Drumcondra South A,SF,179,
2024,Drumcondra South A,I4C,66,
2024,Drumcondra South A,FG,436,
2024,Drumcondra South A,FF,183,
2024,Drumcondra South A,SD,329,
2024,Drumcondra South A,GP,139,
2024,Drumcondra South A,IND,83,
2024,Drumcondra South A,CPI,0,
2024,Drumcondra South A,PBPS,54,
2024,Drumcondra South A,LAB,178,
2024,Drumcondra South A,AON,47,
2024,Drumcondra South B,SF,83,
2024,Drumcondra South B,I4C,16,
2024,Drumcondra South B,FG,53,
2024,Drumcondra South B,FF,26,
2024,Drumcondra South B,SD,62,
2024,Drumcondra South B,GP,22,
2024,Drumcondra South B,IND,48,
2024,Drumcondra South B,CPI,0,
2024,Drumcondra South B,PBPS,14,
2024,Drumcondra South B,LAB,19,
2024,Drumcondra South B,AON,7,
2024,Drumcondra South B,,,
2024,Drumcondra South B,,,
2024,Drumcondra South C,SF,271,
2024,Drumcondra South C,I4C,75,
2024,Drumcondra South C,FG,547,
2024,Drumcondra South C,FF,219,
2024,Drumcondra South C,SD,387,
2024,Drumcondra South C,GP,142,
2024,Drumcondra South C,IND,113,
2024,Drumcondra South C,CPI,0,
2024,Drumcondra South C,PBPS,79,
2024,Drumcondra South C,LAB,205,
2024,Drumcondra South C,AON,69,
2024,Inns Quay A,SF,76,
2024,Inns Quay A,I4C,10,
2024,Inns Quay A,FG,57,
2024,Inns Quay A,FF,14,
2024,Inns Quay A,SD,53,
2024,Inns Quay A,GP,20,
2024,Inns Quay A,IND,37,
2024,Inns Quay A,CPI,1,
2024,Inns Quay A,PBPS,31,
2024,Inns Quay A,LAB,27,
2024,Inns Quay A,AON,13,
2024,Inns Quay B,SF,136,
2024,Inns Quay B,I4C,50,
2024,Inns Quay B,FG,102,
2024,Inns Quay B,FF,40,
2024,Inns Quay B,SD,106,
2024,Inns Quay B,GP,46,
2024,Inns Quay B,IND,119,
2024,Inns Quay B,CPI,3,
2024,Inns Quay B,PBPS,43,
2024,Inns Quay B,LAB,58,
2024,Inns Quay B,AON,19,
2024,Inns Quay C,SF,146,
2024,Inns Quay C,I4C,11,
2024,Inns Quay C,FG,40,
2024,Inns Quay C,FF,28,
2024,Inns Quay C,SD,29,
2024,Inns Quay C,GP,11,
2024,Inns Quay C,IND,88,
2024,Inns Quay C,CPI,1,
2024,Inns Quay C,PBPS,8,
2024,Inns Quay C,LAB,9,
2024,Inns Quay C,AON,10,
2024,Inns Quay C,,,
2024,Inns Quay C,,,
2024,Mountjoy A,SF,233,
2024,Mountjoy A,I4C,26,
2024,Mountjoy A,FG,63,
2024,Mountjoy A,FF,24,
2024,Mountjoy A,SD,50,
2024,Mountjoy A,GP,17,
2024,Mountjoy A,IND,502,
2024,Mountjoy A,CPI,1,
2024,Mountjoy A,PBPS,17,
2024,Mountjoy A,LAB,17,
2024,Mountjoy A,AON,14,
2024,Mountjoy A,,,
2024,Mountjoy A,,,
2024,Mountjoy B,SF,91,
2024,Mountjoy B,I4C,14,
2024,Mountjoy B,FG,37,
2024,Mountjoy B,FF,11,
2024,Mountjoy B,SD,46,
2024,Mountjoy B,GP,22,
2024,Mountjoy B,IND,129,
2024,Mountjoy B,CPI,0,
2024,Mountjoy B,PBPS,22,
2024,Mountjoy B,LAB,14,
2024,Mountjoy B,AON,15,
2024,Mountjoy B,,,
2024,Mountjoy B,,,
2024,North City,SF,237,
2024,North City,I4C,35,
2024,North City,FG,113,
2024,North City,FF,32,
2024,North City,SD,114,
2024,North City,GP,53,
2024,North City,IND,198,
2024,North City,CPI,1,
2024,North City,PBPS,46,
2024,North City,LAB,22,
2024,North City,AON,21,
2024,North City,,,
2024,North City,,,
2024,North Dock A,SF,80,
2024,North Dock A,I4C,25,
2024,North Dock A,FG,62,
2024,North Dock A,FF,15,
2024,North Dock A,SD,79,
2024,North Dock A,GP,36,
2024,North Dock A,IND,70,
2024,North Dock A,CPI,0,
2024,North Dock A,PBPS,15,
2024,North Dock A,LAB,27,
2024,North Dock A,AON,4,
2024,North Dock A,,,
2024,North Dock A,,,
2024,North Dock B,SF,398,
2024,North Dock B,I4C,76,
2024,North Dock B,FG,172,
2024,North Dock B,FF,53,
2024,North Dock B,SD,169,
2024,North Dock B,GP,60,
2024,North Dock B,IND,384,
2024,North Dock B,CPI,1,
2024,North Dock B,PBPS,47,
2024,North Dock B,LAB,33,
2024,North Dock B,AON,23,
2024,North Dock B,,,
2024,North Dock B,,,
2024,North Dock C,SF,245,
2024,North Dock C,I4C,31,
2024,North Dock C,FG,92,
2024,North Dock C,FF,19,
2024,North Dock C,SD,66,
2024,North Dock C,GP,18,
2024,North Dock C,IND,484,
2024,North Dock C,CPI,1,
2024,North Dock C,PBPS,22,
2024,North Dock C,LAB,23,
2024,North Dock C,AON,11,
2024,North Dock C,,,
2024,North Dock C,,,
2024,Rotunda A,SF,153,
2024,Rotunda A,I4C,20,
2024,Rotunda A,FG,46,
2024,Rotunda A,FF,29,
2024,Rotunda A,SD,42,
2024,Rotunda A,GP,27,
2024,Rotunda A,IND,169,
2024,Rotunda A,CPI,0,
2024,Rotunda A,PBPS,13,
2024,Rotunda A,LAB,27,
2024,Rotunda A,AON,10,
2024,Rotunda A,,,
2024,Rotunda A,,,
2024,Rotunda B,SF,56,
2024,Rotunda B,I4C,7,
2024,Rotunda B,FG,14,
2024,Rotunda B,FF,8,
2024,Rotunda B,SD,20,
2024,Rotunda B,GP,5,
2024,Rotunda B,IND,54,
2024,Rotunda B,CPI,0,
2024,Rotunda B,PBPS,3,
2024,Rotunda B,LAB,8,
2024,Rotunda B,AON,13,
2024,Rotunda B,,,
2024,Rotunda B,,,
