,constituency,count,candidate_id,candidate,incumbent,party,votes,status,seats,quota,tvp,spoilt,turnout,electorate
TRUE,Abhainn Ghabhla,1,neill bairead,Néill Bairéad,FALSE,IND,0,running,1,22607,102,,102,383
,Abhainn Ghabhla,1,aj cahill,A.J. Cahill,FALSE,IPP,0,running,1,22607,102,,102,383
,Abhainn Ghabhla,1,mike cubbard,Mike Cubbard,FALSE,IND,0,running,1,22607,102,,102,383
,Abhainn Ghabhla,1,patrick feeney,Patrick Feeney,FALSE,IND,0,running,1,22607,102,,102,383
,Abhainn Ghabhla,1,sheila garrity,Sheila Garrity,FALSE,IND,2,running,1,22607,102,,102,383
,Abhainn Ghabhla,1,cillian keane,Cillian Keane,FALSE,FF,12,running,1,22607,102,,102,383
,Abhainn Ghabhla,1,sean kyne,Seán Kyne,FALSE,FG,17,running,1,22607,102,,102,383
,Abhainn Ghabhla,1,mark lohan,Mark Lohan,FALSE,SF,6,running,1,22607,102,,102,383
,Abhainn Ghabhla,1,niall murphy,Niall Murphy,FALSE,GP,0,running,1,22607,102,,102,383
,Abhainn Ghabhla,1,mide nic fhionnlaoich,Míde Nic Fhionnlaoich,FALSE,SD,7,running,1,22607,102,,102,383
,Abhainn Ghabhla,1,orla nugent,Orla Nugent,FALSE,AON,2,running,1,22607,102,,102,383
,Abhainn Ghabhla,1,helen ogbu,Helen Ogbu,FALSE,LAB,1,running,1,22607,102,,102,383
,Abhainn Ghabhla,1,john oleary,John O'Leary,FALSE,IND,0,running,1,22607,102,,102,383
,Abhainn Ghabhla,1,denman rooke,Denman Rooke,FALSE,PBPS,1,running,1,22607,102,,102,383
,Abhainn Ghabhla,1,michael ryan,Michael Ryan,FALSE,IND,0,running,1,22607,102,,102,383
,Abhainn Ghabhla,1,noel thomas,Noel Thomas,FALSE,INDIRL,50,running,1,22607,102,,102,383
,Abhainn Ghabhla,1,thomas welby,Thomas Welby,FALSE,IND,4,running,1,22607,102,,102,383
TRUE,An Carn Mór,1,neill bairead,Néill Bairéad,FALSE,IND,0,running,1,22607,667,0,667,1591
,An Carn Mór,1,aj cahill,A.J. Cahill,FALSE,IPP,8,running,1,22607,667,0,667,1591
,An Carn Mór,1,mike cubbard,Mike Cubbard,FALSE,IND,30,running,1,22607,667,0,667,1591
,An Carn Mór,1,patrick feeney,Patrick Feeney,FALSE,IND,1,running,1,22607,667,0,667,1591
,An Carn Mór,1,sheila garrity,Sheila Garrity,FALSE,IND,10,running,1,22607,667,0,667,1591
,An Carn Mór,1,cillian keane,Cillian Keane,FALSE,FF,130,running,1,22607,667,0,667,1591
,An Carn Mór,1,sean kyne,Seán Kyne,FALSE,FG,139,running,1,22607,667,0,667,1591
,An Carn Mór,1,mark lohan,Mark Lohan,FALSE,SF,33,running,1,22607,667,0,667,1591
,An Carn Mór,1,niall murphy,Niall Murphy,FALSE,GP,8,running,1,22607,667,0,667,1591
,An Carn Mór,1,mide nic fhionnlaoich,Míde Nic Fhionnlaoich,FALSE,SD,16,running,1,22607,667,0,667,1591
,An Carn Mór,1,orla nugent,Orla Nugent,FALSE,AON,20,running,1,22607,667,0,667,1591
,An Carn Mór,1,helen ogbu,Helen Ogbu,FALSE,LAB,55,running,1,22607,667,0,667,1591
,An Carn Mór,1,john oleary,John O'Leary,FALSE,IND,0,running,1,22607,667,0,667,1591
,An Carn Mór,1,denman rooke,Denman Rooke,FALSE,PBPS,5,running,1,22607,667,0,667,1591
,An Carn Mór,1,michael ryan,Michael Ryan,FALSE,IND,0,running,1,22607,667,0,667,1591
,An Carn Mór,1,noel thomas,Noel Thomas,FALSE,INDIRL,155,running,1,22607,667,0,667,1591
,An Carn Mór,1,thomas welby,Thomas Welby,FALSE,IND,57,running,1,22607,667,0,667,1591
TRUE,An Chorr,1,neill bairead,Néill Bairéad,FALSE,IND,0,running,1,22607,144,,144,238
,An Chorr,1,aj cahill,A.J. Cahill,FALSE,IPP,0,running,1,22607,144,,144,238
,An Chorr,1,mike cubbard,Mike Cubbard,FALSE,IND,2,running,1,22607,144,,144,238
,An Chorr,1,patrick feeney,Patrick Feeney,FALSE,IND,12,running,1,22607,144,,144,238
,An Chorr,1,sheila garrity,Sheila Garrity,FALSE,IND,0,running,1,22607,144,,144,238
,An Chorr,1,cillian keane,Cillian Keane,FALSE,FF,6,running,1,22607,144,,144,238
,An Chorr,1,sean kyne,Seán Kyne,FALSE,FG,48,running,1,22607,144,,144,238
,An Chorr,1,mark lohan,Mark Lohan,FALSE,SF,33,running,1,22607,144,,144,238
,An Chorr,1,niall murphy,Niall Murphy,FALSE,GP,15,running,1,22607,144,,144,238
,An Chorr,1,mide nic fhionnlaoich,Míde Nic Fhionnlaoich,FALSE,SD,2,running,1,22607,144,,144,238
,An Chorr,1,orla nugent,Orla Nugent,FALSE,AON,4,running,1,22607,144,,144,238
,An Chorr,1,helen ogbu,Helen Ogbu,FALSE,LAB,6,running,1,22607,144,,144,238
,An Chorr,1,john oleary,John O'Leary,FALSE,IND,17,running,1,22607,144,,144,238
,An Chorr,1,denman rooke,Denman Rooke,FALSE,PBPS,0,running,1,22607,144,,144,238
,An Chorr,1,michael ryan,Michael Ryan,FALSE,IND,2,running,1,22607,144,,144,238
,An Chorr,1,noel thomas,Noel Thomas,FALSE,INDIRL,0,running,1,22607,144,,144,238
,An Chorr,1,thomas welby,Thomas Welby,FALSE,IND,55,running,1,22607,144,,144,238
TRUE,An Cnoc Buí,1,neill bairead,Néill Bairéad,FALSE,IND,1,running,1,22607,323,0,323,911
,An Cnoc Buí,1,aj cahill,A.J. Cahill,FALSE,IPP,0,running,1,22607,323,0,323,911
,An Cnoc Buí,1,mike cubbard,Mike Cubbard,FALSE,IND,2,running,1,22607,323,0,323,911
,An Cnoc Buí,1,patrick feeney,Patrick Feeney,FALSE,IND,0,running,1,22607,323,0,323,911
,An Cnoc Buí,1,sheila garrity,Sheila Garrity,FALSE,IND,3,running,1,22607,323,0,323,911
,An Cnoc Buí,1,cillian keane,Cillian Keane,FALSE,FF,13,running,1,22607,323,0,323,911
,An Cnoc Buí,1,sean kyne,Seán Kyne,FALSE,FG,63,running,1,22607,323,0,323,911
,An Cnoc Buí,1,mark lohan,Mark Lohan,FALSE,SF,19,running,1,22607,323,0,323,911
,An Cnoc Buí,1,niall murphy,Niall Murphy,FALSE,GP,0,running,1,22607,323,0,323,911
,An Cnoc Buí,1,mide nic fhionnlaoich,Míde Nic Fhionnlaoich,FALSE,SD,31,running,1,22607,323,0,323,911
,An Cnoc Buí,1,orla nugent,Orla Nugent,FALSE,AON,8,running,1,22607,323,0,323,911
,An Cnoc Buí,1,helen ogbu,Helen Ogbu,FALSE,LAB,7,running,1,22607,323,0,323,911
,An Cnoc Buí,1,john oleary,John O'Leary,FALSE,IND,0,running,1,22607,323,0,323,911
,An Cnoc Buí,1,denman rooke,Denman Rooke,FALSE,PBPS,4,running,1,22607,323,0,323,911
,An Cnoc Buí,1,michael ryan,Michael Ryan,FALSE,IND,0,running,1,22607,323,0,323,911
,An Cnoc Buí,1,noel thomas,Noel Thomas,FALSE,INDIRL,157,running,1,22607,323,0,323,911
,An Cnoc Buí,1,thomas welby,Thomas Welby,FALSE,IND,15,running,1,22607,323,0,323,911
TRUE,An Crompán,1,neill bairead,Néill Bairéad,FALSE,IND,2,running,1,22607,1363,0,1363,2501
,An Crompán,1,aj cahill,A.J. Cahill,FALSE,IPP,12,running,1,22607,1363,0,1363,2501
,An Crompán,1,mike cubbard,Mike Cubbard,FALSE,IND,8,running,1,22607,1363,0,1363,2501
,An Crompán,1,patrick feeney,Patrick Feeney,FALSE,IND,0,running,1,22607,1363,0,1363,2501
,An Crompán,1,sheila garrity,Sheila Garrity,FALSE,IND,10,running,1,22607,1363,0,1363,2501
,An Crompán,1,cillian keane,Cillian Keane,FALSE,FF,53,running,1,22607,1363,0,1363,2501
,An Crompán,1,sean kyne,Seán Kyne,FALSE,FG,157,running,1,22607,1363,0,1363,2501
,An Crompán,1,mark lohan,Mark Lohan,FALSE,SF,96,running,1,22607,1363,0,1363,2501
,An Crompán,1,niall murphy,Niall Murphy,FALSE,GP,37,running,1,22607,1363,0,1363,2501
,An Crompán,1,mide nic fhionnlaoich,Míde Nic Fhionnlaoich,FALSE,SD,208,running,1,22607,1363,0,1363,2501
,An Crompán,1,orla nugent,Orla Nugent,FALSE,AON,68,running,1,22607,1363,0,1363,2501
,An Crompán,1,helen ogbu,Helen Ogbu,FALSE,LAB,84,running,1,22607,1363,0,1363,2501
,An Crompán,1,john oleary,John O'Leary,FALSE,IND,1,running,1,22607,1363,0,1363,2501
,An Crompán,1,denman rooke,Denman Rooke,FALSE,PBPS,76,running,1,22607,1363,0,1363,2501
,An Crompán,1,michael ryan,Michael Ryan,FALSE,IND,3,running,1,22607,1363,0,1363,2501
,An Crompán,1,noel thomas,Noel Thomas,FALSE,INDIRL,416,running,1,22607,1363,0,1363,2501
,An Crompán,1,thomas welby,Thomas Welby,FALSE,IND,132,running,1,22607,1363,0,1363,2501
TRUE,An Fhairche,1,neill bairead,Néill Bairéad,FALSE,IND,0,running,1,22607,268,0,268,749
,An Fhairche,1,aj cahill,A.J. Cahill,FALSE,IPP,2,running,1,22607,268,0,268,749
,An Fhairche,1,mike cubbard,Mike Cubbard,FALSE,IND,1,running,1,22607,268,0,268,749
,An Fhairche,1,patrick feeney,Patrick Feeney,FALSE,IND,0,running,1,22607,268,0,268,749
,An Fhairche,1,sheila garrity,Sheila Garrity,FALSE,IND,5,running,1,22607,268,0,268,749
,An Fhairche,1,cillian keane,Cillian Keane,FALSE,FF,36,running,1,22607,268,0,268,749
,An Fhairche,1,sean kyne,Seán Kyne,FALSE,FG,47,running,1,22607,268,0,268,749
,An Fhairche,1,mark lohan,Mark Lohan,FALSE,SF,18,running,1,22607,268,0,268,749
,An Fhairche,1,niall murphy,Niall Murphy,FALSE,GP,12,running,1,22607,268,0,268,749
,An Fhairche,1,mide nic fhionnlaoich,Míde Nic Fhionnlaoich,FALSE,SD,5,running,1,22607,268,0,268,749
,An Fhairche,1,orla nugent,Orla Nugent,FALSE,AON,0,running,1,22607,268,0,268,749
,An Fhairche,1,helen ogbu,Helen Ogbu,FALSE,LAB,18,running,1,22607,268,0,268,749
,An Fhairche,1,john oleary,John O'Leary,FALSE,IND,0,running,1,22607,268,0,268,749
,An Fhairche,1,denman rooke,Denman Rooke,FALSE,PBPS,1,running,1,22607,268,0,268,749
,An Fhairche,1,michael ryan,Michael Ryan,FALSE,IND,0,running,1,22607,268,0,268,749
,An Fhairche,1,noel thomas,Noel Thomas,FALSE,INDIRL,52,running,1,22607,268,0,268,749
,An Fhairche,1,thomas welby,Thomas Welby,FALSE,IND,71,running,1,22607,268,0,268,749
TRUE,An Ros,1,neill bairead,Néill Bairéad,FALSE,IND,0,running,1,22607,83,0,83,176
,An Ros,1,aj cahill,A.J. Cahill,FALSE,IPP,0,running,1,22607,83,0,83,176
,An Ros,1,mike cubbard,Mike Cubbard,FALSE,IND,0,running,1,22607,83,0,83,176
,An Ros,1,patrick feeney,Patrick Feeney,FALSE,IND,0,running,1,22607,83,0,83,176
,An Ros,1,sheila garrity,Sheila Garrity,FALSE,IND,0,running,1,22607,83,0,83,176
,An Ros,1,cillian keane,Cillian Keane,FALSE,FF,7,running,1,22607,83,0,83,176
,An Ros,1,sean kyne,Seán Kyne,FALSE,FG,11,running,1,22607,83,0,83,176
,An Ros,1,mark lohan,Mark Lohan,FALSE,SF,7,running,1,22607,83,0,83,176
,An Ros,1,niall murphy,Niall Murphy,FALSE,GP,0,running,1,22607,83,0,83,176
,An Ros,1,mide nic fhionnlaoich,Míde Nic Fhionnlaoich,FALSE,SD,1,running,1,22607,83,0,83,176
,An Ros,1,orla nugent,Orla Nugent,FALSE,AON,3,running,1,22607,83,0,83,176
,An Ros,1,helen ogbu,Helen Ogbu,FALSE,LAB,1,running,1,22607,83,0,83,176
,An Ros,1,john oleary,John O'Leary,FALSE,IND,0,running,1,22607,83,0,83,176
,An Ros,1,denman rooke,Denman Rooke,FALSE,PBPS,0,running,1,22607,83,0,83,176
,An Ros,1,michael ryan,Michael Ryan,FALSE,IND,1,running,1,22607,83,0,83,176
,An Ros,1,noel thomas,Noel Thomas,FALSE,INDIRL,31,running,1,22607,83,0,83,176
,An Ros,1,thomas welby,Thomas Welby,FALSE,IND,21,running,1,22607,83,0,83,176
TRUE,An Spidéal,1,neill bairead,Néill Bairéad,FALSE,IND,1,running,1,22607,831,0,831,1585
,An Spidéal,1,aj cahill,A.J. Cahill,FALSE,IPP,13,running,1,22607,831,0,831,1585
,An Spidéal,1,mike cubbard,Mike Cubbard,FALSE,IND,24,running,1,22607,831,0,831,1585
,An Spidéal,1,patrick feeney,Patrick Feeney,FALSE,IND,0,running,1,22607,831,0,831,1585
,An Spidéal,1,sheila garrity,Sheila Garrity,FALSE,IND,21,running,1,22607,831,0,831,1585
,An Spidéal,1,cillian keane,Cillian Keane,FALSE,FF,29,running,1,22607,831,0,831,1585
,An Spidéal,1,sean kyne,Seán Kyne,FALSE,FG,178,running,1,22607,831,0,831,1585
,An Spidéal,1,mark lohan,Mark Lohan,FALSE,SF,63,running,1,22607,831,0,831,1585
,An Spidéal,1,niall murphy,Niall Murphy,FALSE,GP,13,running,1,22607,831,0,831,1585
,An Spidéal,1,mide nic fhionnlaoich,Míde Nic Fhionnlaoich,FALSE,SD,120,running,1,22607,831,0,831,1585
,An Spidéal,1,orla nugent,Orla Nugent,FALSE,AON,11,running,1,22607,831,0,831,1585
,An Spidéal,1,helen ogbu,Helen Ogbu,FALSE,LAB,66,running,1,22607,831,0,831,1585
,An Spidéal,1,john oleary,John O'Leary,FALSE,IND,0,running,1,22607,831,0,831,1585
,An Spidéal,1,denman rooke,Denman Rooke,FALSE,PBPS,9,running,1,22607,831,0,831,1585
,An Spidéal,1,michael ryan,Michael Ryan,FALSE,IND,2,running,1,22607,831,0,831,1585
,An Spidéal,1,noel thomas,Noel Thomas,FALSE,INDIRL,214,running,1,22607,831,0,831,1585
,An Spidéal,1,thomas welby,Thomas Welby,FALSE,IND,67,running,1,22607,831,0,831,1585
TRUE,An Turlach,1,neill bairead,Néill Bairéad,FALSE,IND,0,running,1,22607,192,0,192,461
,An Turlach,1,aj cahill,A.J. Cahill,FALSE,IPP,6,running,1,22607,192,0,192,461
,An Turlach,1,mike cubbard,Mike Cubbard,FALSE,IND,0,running,1,22607,192,0,192,461
,An Turlach,1,patrick feeney,Patrick Feeney,FALSE,IND,0,running,1,22607,192,0,192,461
,An Turlach,1,sheila garrity,Sheila Garrity,FALSE,IND,0,running,1,22607,192,0,192,461
,An Turlach,1,cillian keane,Cillian Keane,FALSE,FF,18,running,1,22607,192,0,192,461
,An Turlach,1,sean kyne,Seán Kyne,FALSE,FG,34,running,1,22607,192,0,192,461
,An Turlach,1,mark lohan,Mark Lohan,FALSE,SF,32,running,1,22607,192,0,192,461
,An Turlach,1,niall murphy,Niall Murphy,FALSE,GP,2,running,1,22607,192,0,192,461
,An Turlach,1,mide nic fhionnlaoich,Míde Nic Fhionnlaoich,FALSE,SD,11,running,1,22607,192,0,192,461
,An Turlach,1,orla nugent,Orla Nugent,FALSE,AON,6,running,1,22607,192,0,192,461
,An Turlach,1,helen ogbu,Helen Ogbu,FALSE,LAB,8,running,1,22607,192,0,192,461
,An Turlach,1,john oleary,John O'Leary,FALSE,IND,1,running,1,22607,192,0,192,461
,An Turlach,1,denman rooke,Denman Rooke,FALSE,PBPS,0,running,1,22607,192,0,192,461
,An Turlach,1,michael ryan,Michael Ryan,FALSE,IND,0,running,1,22607,192,0,192,461
,An Turlach,1,noel thomas,Noel Thomas,FALSE,INDIRL,64,running,1,22607,192,0,192,461
,An Turlach,1,thomas welby,Thomas Welby,FALSE,IND,10,running,1,22607,192,0,192,461
TRUE,An Uillinn,1,neill bairead,Néill Bairéad,FALSE,IND,0,running,1,22607,173,0,173,300
,An Uillinn,1,aj cahill,A.J. Cahill,FALSE,IPP,0,running,1,22607,173,0,173,300
,An Uillinn,1,mike cubbard,Mike Cubbard,FALSE,IND,3,running,1,22607,173,0,173,300
,An Uillinn,1,patrick feeney,Patrick Feeney,FALSE,IND,1,running,1,22607,173,0,173,300
