year,constituency,party,votes,seats
2024,Abhainn Ghabhla,FF,30,
2024,Abhainn Ghabhla,FG,17,
2024,Abhainn Ghabhla,SF,31,
2024,Abhainn Ghabhla,GP,0,
,,,,
2024,Abhainn Ghabhla,LP,2,
2024,Abhainn Ghabhla,SD,2,
2024,Abhainn Ghabhla,PBPS,1,
2024,Abhainn Ghabhla,AON,0,
2024,Abhainn Ghabhla,INDIRL,22,
2024,Abhainn Ghabhla,IPP,0,
2024,Abhainn Ghabhla,IFP,0,
2024,Abhainn Ghabhla,IND,12,
2024,An Carn Mór,FF,113,
2024,An Carn Mór,FG,125,
2024,An Carn Mór,SF,70,
2024,An Carn Mór,GP,13,
,,,,
2024,An Carn Mór,LP,7,
2024,An Carn Mór,SD,22,
2024,An Carn Mór,PBPS,5,
2024,An Carn Mór,AON,16,
2024,An Carn Mór,INDIRL,29,
2024,An Carn Mór,IPP,5,
2024,An Carn Mór,IFP,4,
2024,An Carn Mór,IND,688,
2024,An Chorr,FF,74,
2024,An Chorr,FG,156,
2024,An Chorr,SF,77,
2024,An Chorr,GP,5,
,,,,
2024,An Chorr,LP,4,
2024,An Chorr,SD,6,
2024,An Chorr,PBPS,6,
2024,An Chorr,AON,5,
2024,An Chorr,INDIRL,28,
2024,An Chorr,IPP,0,
2024,An Chorr,IFP,6,
2024,An Chorr,IND,58,
2024,An Cnoc Buí,FF,126,
2024,An Cnoc Buí,FG,81,
2024,An Cnoc Buí,SF,137,
2024,An Cnoc Buí,GP,0,
,,,,
2024,An Cnoc Buí,LP,7,
2024,An Cnoc Buí,SD,7,
2024,An Cnoc Buí,PBPS,8,
2024,An Cnoc Buí,AON,6,
2024,An Cnoc Buí,INDIRL,76,
2024,An Cnoc Buí,IPP,1,
2024,An Cnoc Buí,IFP,6,
2024,An Cnoc Buí,IND,63,
2024,An Crompán,FF,254,
2024,An Crompán,FG,120,
2024,An Crompán,SF,276,
2024,An Crompán,GP,19,
,,,,
2024,An Crompán,LP,13,
2024,An Crompán,SD,22,
2024,An Crompán,PBPS,19,
2024,An Crompán,AON,23,
2024,An Crompán,INDIRL,408,
2024,An Crompán,IPP,5,
2024,An Crompán,IFP,16,
2024,An Crompán,IND,269,
2024,An Fhairche,FF,188,
2024,An Fhairche,FG,146,
2024,An Fhairche,SF,68,
2024,An Fhairche,GP,19,
,,,,
2024,An Fhairche,LP,8,
2024,An Fhairche,SD,16,
2024,An Fhairche,PBPS,4,
2024,An Fhairche,AON,6,
2024,An Fhairche,INDIRL,35,
2024,An Fhairche,IPP,2,
2024,An Fhairche,IFP,5,
2024,An Fhairche,IND,40,
2024,An Ros,FF,61,
2024,An Ros,FG,23,
2024,An Ros,SF,30,
2024,An Ros,GP,0,
,,,,
2024,An Ros,LP,1,
2024,An Ros,SD,0,
2024,An Ros,PBPS,1,
2024,An Ros,AON,0,
2024,An Ros,INDIRL,17,
2024,An Ros,IPP,1,
2024,An Ros,IFP,1,
2024,An Ros,IND,11,
2024,An Spidéal,FF,286,
2024,An Spidéal,FG,156,
2024,An Spidéal,SF,183,
2024,An Spidéal,GP,33,
,,,,
2024,An Spidéal,LP,25,
2024,An Spidéal,SD,53,
2024,An Spidéal,PBPS,28,
2024,An Spidéal,AON,29,
2024,An Spidéal,INDIRL,166,
2024,An Spidéal,IPP,5,
2024,An Spidéal,IFP,11,
2024,An Spidéal,IND,252,
2024,An Turlach,FF,65,
2024,An Turlach,FG,16,
2024,An Turlach,SF,103,
2024,An Turlach,GP,2,
,,,,
2024,An Turlach,LP,5,
2024,An Turlach,SD,6,
2024,An Turlach,PBPS,0,
2024,An Turlach,AON,1,
2024,An Turlach,INDIRL,36,
2024,An Turlach,IPP,2,
2024,An Turlach,IFP,2,
2024,An Turlach,IND,46,
2024,An Uillinn,FF,48,
2024,An Uillinn,FG,56,
2024,An Uillinn,SF,38,
2024,An Uillinn,GP,0,
,,,,
2024,An Uillinn,LP,4,
2024,An Uillinn,SD,1,
2024,An Uillinn,PBPS,0,
2024,An Uillinn,AON,1,
2024,An Uillinn,INDIRL,59,
2024,An Uillinn,IPP,0,
2024,An Uillinn,IFP,0,
2024,An Uillinn,IND,17,
2024,Árainn,FF,128,
2024,Árainn,FG,67,
2024,Árainn,SF,113,
2024,Árainn,GP,11,
,,,,
2024,Árainn,LP,7,
2024,Árainn,SD,1,
2024,Árainn,PBPS,1,
2024,Árainn,AON,2,
2024,Árainn,INDIRL,48,
2024,Árainn,IPP,5,
2024,Árainn,IFP,1,
2024,Árainn,IND,171,
2024,Baile an Teampaill,FF,123,
2024,Baile an Teampaill,FG,162,
2024,Baile an Teampaill,SF,56,
2024,Baile an Teampaill,GP,16,
,,,,
2024,Baile an Teampaill,LP,18,
2024,Baile an Teampaill,SD,18,
2024,Baile an Teampaill,PBPS,6,
2024,Baile an Teampaill,AON,12,
2024,Baile an Teampaill,INDIRL,11,
2024,Baile an Teampaill,IPP,5,
2024,Baile an Teampaill,IFP,7,
2024,Baile an Teampaill,IND,451,
2024,Baile Chláir,FF,221,
2024,Baile Chláir,FG,214,
2024,Baile Chláir,SF,177,
2024,Baile Chláir,GP,18,
,,,,
2024,Baile Chláir,LP,29,
2024,Baile Chláir,SD,46,
2024,Baile Chláir,PBPS,16,
2024,Baile Chláir,AON,21,
2024,Baile Chláir,INDIRL,105,
2024,Baile Chláir,IPP,6,
2024,Baile Chláir,IFP,8,
2024,Baile Chláir,IND,620,
2024,Ballybaan,FF,145,
2024,Ballybaan,FG,160,
2024,Ballybaan,SF,248,
2024,Ballybaan,GP,19,
,,,,
2024,Ballybaan,LP,43,
2024,Ballybaan,SD,27,
2024,Ballybaan,PBPS,13,
2024,Ballybaan,AON,27,
2024,Ballybaan,INDIRL,30,
2024,Ballybaan,IPP,9,
2024,Ballybaan,IFP,10,
2024,Ballybaan,IND,342,
2024,Ballybrit,FF,78,
2024,Ballybrit,FG,40,
2024,Ballybrit,SF,218,
2024,Ballybrit,GP,18,
,,,,
2024,Ballybrit,LP,42,
2024,Ballybrit,SD,25,
2024,Ballybrit,PBPS,16,
2024,Ballybrit,AON,13,
2024,Ballybrit,INDIRL,12,
2024,Ballybrit,IPP,5,
2024,Ballybrit,IFP,5,
2024,Ballybrit,IND,216,
2024,Ballynacourty,FF,171,
2024,Ballynacourty,FG,531,
2024,Ballynacourty,SF,122,
2024,Ballynacourty,GP,64,
,,,,
2024,Ballynacourty,LP,35,
2024,Ballynacourty,SD,58,
2024,Ballynacourty,PBPS,8,
