constituency,count,candidate_id,candidate,incumbent,party,votes,status,seats,quota,turnout,tvp,spoilt,electorate,,,,,,,,,,,,,,,,,
Dublin,1,lynn boylan,Lynn Boylan,FALSE,SF,"83,264",running,3,88144,358943,352575,6368,820668,,,,,,,,,,,,,,,,,
Dublin,1,brian hayes,Brian Hayes,FALSE,FG,"54,676",running,3,88144,358943,352575,6368,820668,,,,,,,,,,,,,,,,,
Dublin,1,mary fitzpatrick,Mary Fitzpatrick,FALSE,FF,"44,283",running,3,88144,358943,352575,6368,820668,,,,,,,,,,,,,,,,,
Dublin,1,eamon ryan,Eamon Ryan,FALSE,GP,"44,078",running,3,88144,358943,352575,6368,820668,,,,,,,,,,,,,,,,,
Dublin,1,nessa childers,Nessa Childers,FALSE,IND,"35,939",running,3,88144,358943,352575,6368,820668,,,,,,,,,,,,,,,,,
Dublin,1,paul murphy,Paul Murphy,FALSE,SP,"29,953",running,3,88144,358943,352575,6368,820668,,,,,,,,,,,,,,,,,
Dublin,1,emer costello,Emer Costello,FALSE,LAB,"25,961",running,3,88144,358943,352575,6368,820668,,,,,,,,,,,,,,,,,
Dublin,1,brid smith,Bríd Smith,FALSE,PBP,"23,875",running,3,88144,358943,352575,6368,820668,,,,,,,,,,,,,,,,,
Dublin,1,tom darcy,Tom D'Arcy,FALSE,IND,"4,022",eliminated,3,88144,358943,352575,6368,820668,,,,,,,,,,,,,,,,,
Dublin,1,raymond whitehead,Raymond Whitehead,FALSE,IND,"3,133",eliminated,3,88144,358943,352575,6368,820668,,,,,,,,,,,,,,,,,
Dublin,1,jim tallon,Jim Tallon,FALSE,IND,"2,244",eliminated,3,88144,358943,352575,6368,820668,,,,,,,,,,,,,,,,,
Dublin,1,damon wise,Damon Wise,FALSE,FS,"1,147",eliminated,3,88144,358943,352575,6368,820668,,,,,,,,,,,,,,,,,
Dublin,2,lynn boylan,Lynn Boylan,FALSE,SF,"84,289",running,3,88144,358943,352575,6368,820668,,,,,,,,,,,,,,,,,
Dublin,2,brian hayes,Brian Hayes,FALSE,FG,"55,132",running,3,88144,358943,352575,6368,820668,,,,,,,,,,,,,,,,,
Dublin,2,mary fitzpatrick,Mary Fitzpatrick,FALSE,FF,"44,954",running,3,88144,358943,352575,6368,820668,,,,,,,,,,,,,,,,,
Dublin,2,eamon ryan,Eamon Ryan,FALSE,GP,"45,173",running,3,88144,358943,352575,6368,820668,,,,,,,,,,,,,,,,,
Dublin,2,nessa childers,Nessa Childers,FALSE,IND,"37,706",running,3,88144,358943,352575,6368,820668,,,,,,,,,,,,,,,,,
Dublin,2,paul murphy,Paul Murphy,FALSE,SP,"31,310",running,3,88144,358943,352575,6368,820668,,,,,,,,,,,,,,,,,
Dublin,2,emer costello,Emer Costello,FALSE,LAB,"26,232",running,3,88144,358943,352575,6368,820668,,,,,,,,,,,,,,,,,
Dublin,2,brid smith,Bríd Smith,FALSE,PBP,"25,539",eliminated,3,88144,358943,352575,6368,820668,,,,,,,,,,,,,,,,,
Dublin,2,tom darcy,Tom D'Arcy,FALSE,IND,,eliminated,3,88144,358943,352575,6368,820668,,,,,,,,,,,,,,,,,
Dublin,2,raymond whitehead,Raymond Whitehead,FALSE,IND,,eliminated,3,88144,358943,352575,6368,820668,,,,,,,,,,,,,,,,,
Dublin,2,jim tallon,Jim Tallon,FALSE,IND,,eliminated,3,88144,358943,352575,6368,820668,,,,,,,,,,,,,,,,,
