election,constituency,party,votes,seats
2024,Dublin,I4C,42305,1
2024,Dublin,WP,3701,
2024,Dublin,PBPS,15831,
2024,Dublin,SF,39387,
2024,Dublin,SD,20331,
2024,Dublin,LAB,18293,
2024,Dublin,GP,63849,1
2024,Dublin,FF,51420,1
2024,Dublin,FG,75540,1
2024,Dublin,REN,,
2024,Dublin,IND,33290,
2024,Midlands-North-West,I4C,,
2024,Midlands-North-West,WP,,
2024,Midlands-North-West,PBPS,8130,
2024,Midlands-North-West,SF,77619,1
2024,Midlands-North-West,SD,,
2024,Midlands-North-West,LAB,12378,
2024,Midlands-North-West,GP,51019,
2024,Midlands-North-West,FF,73034,
2024,Midlands-North-West,FG,199130,2
2024,Midlands-North-West,REN,6897,
2024,Midlands-North-West,IND,166720,1
2024,South,I4C,81780,1
2024,South,WP,,
2024,South,PBPS,14810,
2024,South,SF,78995,
2024,South,SD,,
2024,South,LAB,22082,
2024,South,GP,75887,1
2024,South,FF,153251,1
2024,South,FG,221789,2
2024,South,REN,,
2024,South,IND,70600,
