constituency,count,candidate_id,candidate,incumbent,party,votes,status,seats,quota,turnout,tvp,spoilt,electorate
Limerick City and County,1,john moran,John Moran,FALSE,IND,"18,308",running,1,39873,81668,79745,1923,157672
Limerick City and County,1,helen odonnell,Helen O'Donnell,FALSE,IND,"12,903",running,1,39873,81668,79745,1923,157672
Limerick City and County,1,dee ryan,Dee Ryan,FALSE,FF,"11,785",running,1,39873,81668,79745,1923,157672
Limerick City and County,1,daniel butler,Daniel Butler,FALSE,FG,"10,190",running,1,39873,81668,79745,1923,157672
Limerick City and County,1,maurice quinlivan,Maurice Quinlivan,FALSE,SF,"8,331",running,1,39873,81668,79745,1923,157672
Limerick City and County,1,frankie daly,Frankie Daly,FALSE,IND,"4,574",running,1,39873,81668,79745,1923,157672
Limerick City and County,1,sarah beasley,Sarah Beasley,FALSE,AON,"2,635",running,1,39873,81668,79745,1923,157672
Limerick City and County,1,conor sheehan,Conor Sheehan,FALSE,LAB,"2,390",running,1,39873,81668,79745,1923,157672
Limerick City and County,1,elisa odonovan,Elisa O'Donovan,FALSE,SF,"2,384",running,1,39873,81668,79745,1923,157672
Limerick City and County,1,brian leddin,Brian Leddin,FALSE,GP,"2,303",running,1,39873,81668,79745,1923,157672
Limerick City and County,1,laura keyes,Laura Keyes,FALSE,RAB,"1,079",running,1,39873,81668,79745,1923,157672
Limerick City and County,1,catriona nichathain,Catríona Ní Chatháin,FALSE,IND,886,running,1,39873,81668,79745,1923,157672
Limerick City and County,1,gerben uunk,Gerben Uunk,FALSE,PAW,758,running,1,39873,81668,79745,1923,157672
Limerick City and County,1,ruairu fahy,Ruairi Fahy,FALSE,PBPS,689,running,1,39873,81668,79745,1923,157672
Limerick City and County,1,colm omorain,Colm Ó Móráin,FALSE,IND,530,eliminated,1,39873,81668,79745,1923,157672
Limerick City and County,2,john moran,John Moran,FALSE,IND,"18,363",running,1,39873,81668,79745,1923,157672
Limerick City and County,2,helen odonnell,Helen O'Donnell,FALSE,IND,"12,991",running,1,39873,81668,79745,1923,157672
Limerick City and County,2,dee ryan,Dee Ryan,FALSE,FF,"11,843",running,1,39873,81668,79745,1923,157672
Limerick City and County,2,daniel butler,Daniel Butler,FALSE,FG,"10,249",running,1,39873,81668,79745,1923,157672
Limerick City and County,2,maurice quinlivan,Maurice Quinlivan,FALSE,SF,"8,356",running,1,39873,81668,79745,1923,157672
Limerick City and County,2,frankie daly,Frankie Daly,FALSE,IND,"4,597",running,1,39873,81668,79745,1923,157672
Limerick City and County,2,sarah beasley,Sarah Beasley,FALSE,AON,"2,662",running,1,39873,81668,79745,1923,157672
Limerick City and County,2,conor sheehan,Conor Sheehan,FALSE,LAB,"2,404",running,1,39873,81668,79745,1923,157672
Limerick City and County,2,elisa odonovan,Elisa O'Donovan,FALSE,SF,"2,401",running,1,39873,81668,79745,1923,157672
