constituency,count,candidate_id,candidate,incumbent,party,votes,status,seats,quota,turnout,tvp,spoilt,electorate
Carlow-Kilkenny,1,mary davis,Mary Davis,FALSE,IND,1143,eliminated,1,885882,59328,58737,591,106810
Carlow-Kilkenny,1,sean gallagher,Seán Gallagher,FALSE,IND,19846,running,1,885882,59328,58737,591,106810
Carlow-Kilkenny,1,michaeld higgins,Michael D. Higgins,FALSE,LAB,21574,running,1,885882,59328,58737,591,106810
Carlow-Kilkenny,1,martin mcguinness,Martin McGuinness,FALSE,SF,7257,running,1,885882,59328,58737,591,106810
Carlow-Kilkenny,1,gay mitchell,Gay Mitchell,FALSE,FG,4511,running,1,885882,59328,58737,591,106810
Carlow-Kilkenny,1,david norris,David Norris,FALSE,IND,2792,running,1,885882,59328,58737,591,106810
Carlow-Kilkenny,1,dana rosemaryscallon,Dana Rosemary Scallon,FALSE,IND,1614,eliminated,1,885882,59328,58737,591,106810
Carlow-Kilkenny,2,mary davis,Mary Davis,FALSE,IND,,eliminated,1,885882,59328,58737,591,106810
Carlow-Kilkenny,2,sean gallagher,Seán Gallagher,FALSE,IND,20531,running,1,885882,59328,58737,591,106810
Carlow-Kilkenny,2,michaeld higgins,Michael D. Higgins,FALSE,LAB,22382,running,1,885882,59328,58737,591,106810
Carlow-Kilkenny,2,martin mcguinness,Martin McGuinness,FALSE,SF,7497,running,1,885882,59328,58737,591,106810
Carlow-Kilkenny,2,gay mitchell,Gay Mitchell,FALSE,FG,4915,running,1,885882,59328,58737,591,106810
Carlow-Kilkenny,2,david norris,David Norris,FALSE,IND,2975,eliminated,1,885882,59328,58737,591,106810
Carlow-Kilkenny,2,dana rosemaryscallon,Dana Rosemary Scallon,FALSE,IND,,eliminated,1,885882,59328,58737,591,106810
Carlow-Kilkenny,3,mary davis,Mary Davis,FALSE,IND,,eliminated,1,885882,59328,58737,591,106810
Carlow-Kilkenny,3,sean gallagher,Seán Gallagher,FALSE,IND,21089,running,1,885882,59328,58737,591,106810
Carlow-Kilkenny,3,michaeld higgins,Michael D. Higgins,FALSE,LAB,23919,running,1,885882,59328,58737,591,106810
Carlow-Kilkenny,3,martin mcguinness,Martin McGuinness,FALSE,SF,7883,eliminated,1,885882,59328,58737,591,106810
Carlow-Kilkenny,3,gay mitchell,Gay Mitchell,FALSE,FG,5095,eliminated,1,885882,59328,58737,591,106810
Carlow-Kilkenny,3,david norris,David Norris,FALSE,IND,,eliminated,1,885882,59328,58737,591,106810
Carlow-Kilkenny,3,dana rosemaryscallon,Dana Rosemary Scallon,FALSE,IND,,eliminated,1,885882,59328,58737,591,106810
Carlow-Kilkenny,4,mary davis,Mary Davis,FALSE,IND,,eliminated,1,885882,59328,58737,591,106810
Carlow-Kilkenny,4,sean gallagher,Seán Gallagher,FALSE,IND,23705,running,1,885882,59328,58737,591,106810
Carlow-Kilkenny,4,michaeld higgins,Michael D. Higgins,FALSE,LAB,31136,elected,1,885882,59328,58737,591,106810
Carlow-Kilkenny,4,martin mcguinness,Martin McGuinness,FALSE,SF,,eliminated,1,885882,59328,58737,591,106810
Carlow-Kilkenny,4,gay mitchell,Gay Mitchell,FALSE,FG,,eliminated,1,885882,59328,58737,591,106810
Carlow-Kilkenny,4,david norris,David Norris,FALSE,IND,,eliminated,1,885882,59328,58737,591,106810
Carlow-Kilkenny,4,dana rosemaryscallon,Dana Rosemary Scallon,FALSE,IND,,eliminated,1,885882,59328,58737,591,106810
Cavan-Monaghan,1,mary davis,Mary Davis,FALSE,IND,1071,eliminated,1,885882,58518,57964,554,98952
Cavan-Monaghan,1,sean gallagher,Seán Gallagher,FALSE,IND,26150,running,1,885882,58518,57964,554,98952
Cavan-Monaghan,1,michaeld higgins,Michael D. Higgins,FALSE,LAB,11471,running,1,885882,58518,57964,554,98952
Cavan-Monaghan,1,martin mcguinness,Martin McGuinness,FALSE,SF,11940,running,1,885882,58518,57964,554,98952
Cavan-Monaghan,1,gay mitchell,Gay Mitchell,FALSE,FG,4109,running,1,885882,58518,57964,554,98952
Cavan-Monaghan,1,david norris,David Norris,FALSE,IND,1636,running,1,885882,58518,57964,554,98952
Cavan-Monaghan,1,dana rosemaryscallon,Dana Rosemary Scallon,FALSE,IND,1587,eliminated,1,885882,58518,57964,554,98952
Cavan-Monaghan,2,mary davis,Mary Davis,FALSE,IND,,eliminated,1,885882,58518,57964,554,98952
Cavan-Monaghan,2,sean gallagher,Seán Gallagher,FALSE,IND,26972,running,1,885882,58518,57964,554,98952
Cavan-Monaghan,2,michaeld higgins,Michael D. Higgins,FALSE,LAB,12085,running,1,885882,58518,57964,554,98952
Cavan-Monaghan,2,martin mcguinness,Martin McGuinness,FALSE,SF,12275,running,1,885882,58518,57964,554,98952
