constituency,count,candidate_id,candidate,incumbent,party,votes,status,seats,quota,turnout,tvp,spoilt,electorate
Carlow-Kilkenny,1,yes,Yes,FALSE,Yes,"20,247",running,1,"613,188","41,447","40,927",520,"111,304"
Carlow-Kilkenny,1,no,No,FALSE,No,"20,680",elected,1,"613,188","41,447","40,927",520,"111,304"
Cavan-Monaghan,1,yes,Yes,FALSE,Yes,"18,705",running,1,"613,188","34,637","34,087",550,"100,434"
Cavan-Monaghan,1,no,No,FALSE,No,"15,382",elected,1,"613,188","34,637","34,087",550,"100,434"
Clare,1,yes,Yes,FALSE,Yes,"15,480",running,1,"613,188","30,572","30,156",416,"79,295"
Clare,1,no,No,FALSE,No,"14,676",elected,1,"613,188","30,572","30,156",416,"79,295"
Cork East,1,yes,Yes,FALSE,Yes,"15,251",running,1,"613,188","31,810","31,380",430,"81,534"
Cork East,1,no,No,FALSE,No,"16,129",elected,1,"613,188","31,810","31,380",430,"81,534"
Cork North-Central,1,yes,Yes,FALSE,Yes,"14,806",running,1,"613,188","28,919","28,561",358,"74,828"
Cork North-Central,1,no,No,FALSE,No,"13,755",elected,1,"613,188","28,919","28,561",358,"74,828"
Cork North-West,1,yes,Yes,FALSE,Yes,"12,896",running,1,"613,188","26,133","25,820",313,"62,118"
Cork North-West,1,no,No,FALSE,No,"12,924",elected,1,"613,188","26,133","25,820",313,"62,118"
Cork South-Central,1,yes,Yes,FALSE,Yes,"18,507",running,1,"613,188","38,386","37,977",409,"90,662"
Cork South-Central,1,no,No,FALSE,No,"19,470",elected,1,"613,188","38,386","37,977",409,"90,662"
Cork South-West,1,yes,Yes,FALSE,Yes,"12,770",running,1,"613,188","25,383","25,070",313,"59,813"
Cork South-West,1,no,No,FALSE,No,"12,300",elected,1,"613,188","25,383","25,070",313,"59,813"
Donegal North-East,1,yes,Yes,FALSE,Yes,"8,097",running,1,"613,188","16,972","16,760",212,"58,032"
Donegal North-East,1,no,No,FALSE,No,"8,663",elected,1,"613,188","16,972","16,760",212,"58,032"
Donegal South-West,1,yes,Yes,FALSE,Yes,"9,195",running,1,"613,188","18,792","18,546",246,"61,656"
Donegal South-West,1,no,No,FALSE,No,"9,351",elected,1,"613,188","18,792","18,546",246,"61,656"
Dublin Central,1,yes,Yes,FALSE,Yes,"8,458",running,1,"613,188","20,323","20,083",240,"55,018"
Dublin Central,1,no,No,FALSE,No,"11,625",elected,1,"613,188","20,323","20,083",240,"55,018"
Dublin Mid-West,1,yes,Yes,FALSE,Yes,"11,155",running,1,"613,188","24,866","24,624",242,"65,093"
Dublin Mid-West,1,no,No,FALSE,No,"13,469",elected,1,"613,188","24,866","24,624",242,"65,093"
Dublin North,1,yes,Yes,FALSE,Yes,"12,695",running,1,"613,188","28,257","28,006",251,"69,488"
Dublin North,1,no,No,FALSE,No,"15,311",elected,1,"613,188","28,257","28,006",251,"69,488"
Dublin North-Central,1,yes,Yes,FALSE,Yes,"11,663",running,1,"613,188","25,987","25,784",203,"53,884"
Dublin North-Central,1,no,No,FALSE,No,"14,121",elected,1,"613,188","25,987","25,784",203,"53,884"
Dublin North-East,1,yes,Yes,FALSE,Yes,"11,497",running,1,"613,188","25,513","25,308",205,"58,444"
Dublin North-East,1,no,No,FALSE,No,"13,811",elected,1,"613,188","25,513","25,308",205,"58,444"
Dublin North-West,1,yes,Yes,FALSE,Yes,"8,282",running,1,"613,188","18,517","18,279",238,"50,943"
Dublin North-West,1,no,No,FALSE,No,"9,997",elected,1,"613,188","18,517","18,279",238,"50,943"
Dublin South,1,yes,Yes,FALSE,Yes,"21,756",running,1,"613,188","46,855","46,499",356,"101,884"
Dublin South,1,no,No,FALSE,No,"24,743",elected,1,"613,188","46,855","46,499",356,"101,884"
Dublin South-Central,1,yes,Yes,FALSE,Yes,"12,976",running,1,"613,188","30,201","29,872",329,"79,173"
Dublin South-Central,1,no,No,FALSE,No,"16,896",elected,1,"613,188","30,201","29,872",329,"79,173"
Dublin South-East,1,yes,Yes,FALSE,Yes,"8,629",running,1,"613,188","22,505","22,312",193,"55,442"
Dublin South-East,1,no,No,FALSE,No,"13,683",elected,1,"613,188","22,505","22,312",193,"55,442"
Dublin South-West,1,yes,Yes,FALSE,Yes,"12,532",running,1,"613,188","26,534","26,281",253,"69,879"
Dublin South-West,1,no,No,FALSE,No,"13,749",elected,1,"613,188","26,534","26,281",253,"69,879"
Dublin West,1,yes,Yes,FALSE,Yes,"10,213",running,1,"613,188","24,241","24,078",163,"62,192"
Dublin West,1,no,No,FALSE,No,"13,865",elected,1,"613,188","24,241","24,078",163,"62,192"
Dún Laoghaire,1,yes,Yes,FALSE,Yes,"15,568",running,1,"613,188","36,601","36,292",309,"79,207"
