constituency,count,candidate_id,candidate,incumbent,party,votes,status,seats,quota,turnout,tvp,spoilt,electorate
Carlow-Kilkenny,1,yes,Yes,FALSE,Yes,"25,902",elected,1,"610,028","41,424","40,661",763,"111,304"
Carlow-Kilkenny,1,no,No,FALSE,No,"14,759",running,1,"610,028","41,424","40,661",763,"111,304"
Cavan-Monaghan,1,yes,Yes,FALSE,Yes,"21,050",elected,1,"610,028","34,630","33,877",753,"100,434"
Cavan-Monaghan,1,no,No,FALSE,No,"12,827",running,1,"610,028","34,630","33,877",753,"100,434"
Clare,1,yes,Yes,FALSE,Yes,"19,385",elected,1,"610,028","30,547","29,976",571,"79,295"
Clare,1,no,No,FALSE,No,"10,591",running,1,"610,028","30,547","29,976",571,"79,295"
Cork East,1,yes,Yes,FALSE,Yes,"19,367",elected,1,"610,028","31,788","31,219",569,"81,534"
Cork East,1,no,No,FALSE,No,"11,852",running,1,"610,028","31,788","31,219",569,"81,534"
Cork North-Central,1,yes,Yes,FALSE,Yes,"17,811",elected,1,"610,028","28,917","28,410",507,"74,828"
Cork North-Central,1,no,No,FALSE,No,"10,599",running,1,"610,028","28,917","28,410",507,"74,828"
Cork North-West,1,yes,Yes,FALSE,Yes,"16,076",elected,1,"610,028","26,132","25,647",485,"62,118"
Cork North-West,1,no,No,FALSE,No,"9,571",running,1,"610,028","26,132","25,647",485,"62,118"
Cork South-Central,1,yes,Yes,FALSE,Yes,"24,837",elected,1,"610,028","38,356","37,823",533,"90,662"
Cork South-Central,1,no,No,FALSE,No,"12,986",running,1,"610,028","38,356","37,823",533,"90,662"
Cork South-West,1,yes,Yes,FALSE,Yes,"15,764",elected,1,"610,028","25,351","24,892",459,"59,813"
Cork South-West,1,no,No,FALSE,No,"9,128",running,1,"610,028","25,351","24,892",459,"59,813"
Donegal North-East,1,yes,Yes,FALSE,Yes,"9,361",elected,1,"610,028","16,966","16,631",335,"58,032"
Donegal North-East,1,no,No,FALSE,No,"7,270",running,1,"610,028","16,966","16,631",335,"58,032"
Donegal South-West,1,yes,Yes,FALSE,Yes,"11,978",elected,1,"610,028","18,786","18,426",360,"61,656"
Donegal South-West,1,no,No,FALSE,No,"6,448",running,1,"610,028","18,786","18,426",360,"61,656"
Dublin Central,1,yes,Yes,FALSE,Yes,"13,431",elected,1,"610,028","20,305","20,002",303,"55,018"
Dublin Central,1,no,No,FALSE,No,"6,571",running,1,"610,028","20,305","20,002",303,"55,018"
Dublin Mid-West,1,yes,Yes,FALSE,Yes,"16,194",elected,1,"610,028","24,857","24,557",300,"65,093"
Dublin Mid-West,1,no,No,FALSE,No,"8,363",running,1,"610,028","24,857","24,557",300,"65,093"
Dublin North,1,yes,Yes,FALSE,Yes,"19,258",elected,1,"610,028","28,239","27,940",299,"69,488"
Dublin North,1,no,No,FALSE,No,"8,682",running,1,"610,028","28,239","27,940",299,"69,488"
Dublin North-Central,1,yes,Yes,FALSE,Yes,"17,325",elected,1,"610,028","25,972","25,651",321,"53,884"
Dublin North-Central,1,no,No,FALSE,No,"8,326",running,1,"610,028","25,972","25,651",321,"53,884"
Dublin North-East,1,yes,Yes,FALSE,Yes,"16,856",elected,1,"610,028","25,501","25,222",279,"58,444"
Dublin North-East,1,no,No,FALSE,No,"8,366",running,1,"610,028","25,501","25,222",279,"58,444"
Dublin North-West,1,yes,Yes,FALSE,Yes,"11,846",elected,1,"610,028","18,506","18,260",246,"50,943"
Dublin North-West,1,no,No,FALSE,No,"6,414",running,1,"610,028","18,506","18,260",246,"50,943"
Dublin South,1,yes,Yes,FALSE,Yes,"33,959",elected,1,"610,028","46,821","46,293",528,"101,884"
Dublin South,1,no,No,FALSE,No,"12,334",running,1,"610,028","46,821","46,293",528,"101,884"
Dublin South-Central,1,yes,Yes,FALSE,Yes,"19,740",elected,1,"610,028","30,178","29,795",383,"79,173"
Dublin South-Central,1,no,No,FALSE,No,"10,055",running,1,"610,028","30,178","29,795",383,"79,173"
Dublin South-East,1,yes,Yes,FALSE,Yes,"17,020",elected,1,"610,028","22,478","22,215",263,"55,442"
Dublin South-East,1,no,No,FALSE,No,"5,195",running,1,"610,028","22,478","22,215",263,"55,442"
Dublin South-West,1,yes,Yes,FALSE,Yes,"17,541",elected,1,"610,028","26,519","26,241",278,"69,879"
Dublin South-West,1,no,No,FALSE,No,"8,700",running,1,"610,028","26,519","26,241",278,"69,879"
Dublin West,1,yes,Yes,FALSE,Yes,"16,266",elected,1,"610,028","24,234","23,994",240,"62,192"
Dublin West,1,no,No,FALSE,No,"7,728",running,1,"610,028","24,234","23,994",240,"62,192"
Dún Laoghaire,1,yes,Yes,FALSE,Yes,"26,209",elected,1,"610,028","36,562","36,108",454,"79,207"
Dún Laoghaire,1,no,No,FALSE,No,"9,899",running,1,"610,028","36,562","36,108",454,"79,207"
Galway East,1,yes,Yes,FALSE,Yes,"18,269",elected,1,"610,028","29,812","29,176",636,"82,588"
Galway East,1,no,No,FALSE,No,"10,907",running,1,"610,028","29,812","29,176",636,"82,588"
Galway West,1,yes,Yes,FALSE,Yes,"21,373",elected,1,"610,028","32,806","32,179",627,"91,994"
Galway West,1,no,No,FALSE,No,"10,806",running,1,"610,028","32,806","32,179",627,"91,994"
Kerry North-West Limerick,1,yes,Yes,FALSE,Yes,"13,831",elected,1,"610,028","22,995","22,494",501,"61,998"
Kerry North-West Limerick,1,no,No,FALSE,No,"8,663",running,1,"610,028","22,995","22,494",501,"61,998"
Kerry South,1,yes,Yes,FALSE,Yes,"13,602",elected,1,"610,028","22,158","21,692",466,"56,532"
Kerry South,1,no,No,FALSE,No,"8,090",running,1,"610,028","22,158","21,692",466,"56,532"
Kildare North,1,yes,Yes,FALSE,Yes,"20,295",elected,1,"610,028","30,851","30,470",381,"75,043"
Kildare North,1,no,No,FALSE,No,"10,175",running,1,"610,028","30,851","30,470",381,"75,043"
Kildare South,1,yes,Yes,FALSE,Yes,"13,636",elected,1,"610,028","21,899","21,595",304,"57,454"
Kildare South,1,no,No,FALSE,No,"7,959",running,1,"610,028","21,899","21,595",304,"57,454"
Laois-Offaly,1,yes,Yes,FALSE,Yes,"24,416",elected,1,"610,028","39,600","39,000",600,"106,057"
Laois-Offaly,1,no,No,FALSE,No,"14,584",running,1,"610,028","39,600","39,000",600,"106,057"
Limerick,1,yes,Yes,FALSE,Yes,"15,062",elected,1,"610,028","25,026","24,530",496,"65,186"
Limerick,1,no,No,FALSE,No,"9,468",running,1,"610,028","25,026","24,530",496,"65,186"
Limerick City,1,yes,Yes,FALSE,Yes,"16,061",elected,1,"610,028","24,645","24,239",406,"64,909"
Limerick City,1,no,No,FALSE,No,"8,178",running,1,"610,028","24,645","24,239",406,"64,909"
Longford-Westmeath,1,yes,Yes,FALSE,Yes,"19,146",elected,1,"610,028","31,602","30,985",617,"85,791"
Longford-Westmeath,1,no,No,FALSE,No,"11,839",running,1,"610,028","31,602","30,985",617,"85,791"
Louth,1,yes,Yes,FALSE,Yes,"24,372",elected,1,"610,028","38,720","38,155",565,"102,088"
Louth,1,no,No,FALSE,No,"13,783",running,1,"610,028","38,720","38,155",565,"102,088"
Mayo,1,yes,Yes,FALSE,Yes,"23,596",elected,1,"610,028","36,023","35,309",714,"94,860"
Mayo,1,no,No,FALSE,No,"11,713",running,1,"610,028","36,023","35,309",714,"94,860"
Meath East,1,yes,Yes,FALSE,Yes,"15,466",elected,1,"610,028","24,070","23,790",280,"64,440"
Meath East,1,no,No,FALSE,No,"8,324",running,1,"610,028","24,070","23,790",280,"64,440"
Meath West,1,yes,Yes,FALSE,Yes,"13,785",elected,1,"610,028","22,526","22,157",369,"62,891"
Meath West,1,no,No,FALSE,No,"8,372",running,1,"610,028","22,526","22,157",369,"62,891"
Roscommon-South Leitrim,1,yes,Yes,FALSE,Yes,"15,197",elected,1,"610,028","25,333","24,820",513,"59,006"
Roscommon-South Leitrim,1,no,No,FALSE,No,"9,623",running,1,"610,028","25,333","24,820",513,"59,006"
Sligo-North Leitrim,1,yes,Yes,FALSE,Yes,"14,631",elected,1,"610,028","23,960","23,470",490,"60,228"
Sligo-North Leitrim,1,no,No,FALSE,No,"8,839",running,1,"610,028","23,960","23,470",490,"60,228"
Tipperary North,1,yes,Yes,FALSE,Yes,"16,571",elected,1,"610,028","26,608","26,073",535,"62,233"
Tipperary North,1,no,No,FALSE,No,"9,502",running,1,"610,028","26,608","26,073",535,"62,233"
Tipperary South,1,yes,Yes,FALSE,Yes,"15,262",elected,1,"610,028","23,375","22,935",440,"56,060"
Tipperary South,1,no,No,FALSE,No,"7,673",running,1,"610,028","23,375","22,935",440,"56,060"
Waterford,1,yes,Yes,FALSE,Yes,"18,825",elected,1,"610,028","31,092","30,522",570,"76,442"
Waterford,1,no,No,FALSE,No,"11,697",running,1,"610,028","31,092","30,522",570,"76,442"
Wexford,1,yes,Yes,FALSE,Yes,"26,478",elected,1,"610,028","41,157","40,402",755,"106,329"
Wexford,1,no,No,FALSE,No,"13,924",running,1,"610,028","41,157","40,402",755,"106,329"
Wicklow,1,yes,Yes,FALSE,Yes,"27,958",elected,1,"610,028","42,808","42,222",586,"94,932"
Wicklow,1,no,No,FALSE,No,"14,264",running,1,"610,028","42,808","42,222",586,"94,932"
