constituency,count,candidate_id,candidate,incumbent,party,votes,status,seats,quota,turnout,tvp,spoilt,electorate
Carlow-Kilkenny,1,yes,Yes,FALSE,Yes,"38,166",elected,1,"967,954","68,531","67,863",668,"104,735"
Carlow-Kilkenny,1,no,No,FALSE,No,"29,697",running,1,"967,954","68,531","67,863",668,"104,735"
Cavan-Monaghan,1,yes,Yes,FALSE,Yes,"28,494",elected,1,"967,954","56,774","56,257",517,"99,265"
Cavan-Monaghan,1,no,No,FALSE,No,"27,763",running,1,"967,954","56,774","56,257",517,"99,265"
Clare,1,yes,Yes,FALSE,Yes,"28,137",elected,1,"967,954","48,627","48,291",336,"81,809"
Clare,1,no,No,FALSE,No,"20,154",running,1,"967,954","48,627","48,291",336,"81,809"
Cork East,1,yes,Yes,FALSE,Yes,"30,383",elected,1,"967,954","49,532","49,228",304,"81,271"
Cork East,1,no,No,FALSE,No,"18,845",running,1,"967,954","49,532","49,228",304,"81,271"
Cork North-Central,1,yes,Yes,FALSE,Yes,"28,479",elected,1,"967,954","45,059","44,661",398,"75,263"
Cork North-Central,1,no,No,FALSE,No,"16,182",running,1,"967,954","45,059","44,661",398,"75,263"
Cork North-West,1,yes,Yes,FALSE,Yes,"22,388",elected,1,"967,954","38,997","38,686",311,"62,143"
Cork North-West,1,no,No,FALSE,No,"16,298",running,1,"967,954","38,997","38,686",311,"62,143"
Cork South-Central,1,yes,Yes,FALSE,Yes,"38,591",elected,1,"967,954","59,018","58,663",355,"92,422"
Cork South-Central,1,no,No,FALSE,No,"20,072",running,1,"967,954","59,018","58,663",355,"92,422"
Cork South-West,1,yes,Yes,FALSE,Yes,"20,627",elected,1,"967,954","37,107","36,852",255,"60,141"
Cork South-West,1,no,No,FALSE,No,"16,225",running,1,"967,954","37,107","36,852",255,"60,141"
Donegal North-East,1,yes,Yes,FALSE,Yes,"16,040",elected,1,"967,954","30,723","30,532",191,"59,721"
Donegal North-East,1,no,No,FALSE,No,"14,492",running,1,"967,954","30,723","30,532",191,"59,721"
Donegal South-West,1,yes,Yes,FALSE,Yes,"15,907",elected,1,"967,954","32,051","31,781",270,"62,171"
Donegal South-West,1,no,No,FALSE,No,"15,874",running,1,"967,954","32,051","31,781",270,"62,171"
Dublin Central,1,yes,Yes,FALSE,Yes,"23,861",elected,1,"967,954","33,163","32,969",194,"57,193"
Dublin Central,1,no,No,FALSE,No,"9,108",running,1,"967,954","33,163","32,969",194,"57,193"
Dublin Mid-West,1,yes,Yes,FALSE,Yes,"29,984",elected,1,"967,954","42,528","42,275",253,"67,091"
Dublin Mid-West,1,no,No,FALSE,No,"12,291",running,1,"967,954","42,528","42,275",253,"67,091"
Dublin North,1,yes,Yes,FALSE,Yes,"34,494",elected,1,"967,954","47,743","47,503",240,"72,523"
Dublin North,1,no,No,FALSE,No,"13,009",running,1,"967,954","47,743","47,503",240,"72,523"
Dublin North-Central,1,yes,Yes,FALSE,Yes,"25,382",elected,1,"967,954","37,032","36,813",219,"53,785"
Dublin North-Central,1,no,No,FALSE,No,"11,431",running,1,"967,954","37,032","36,813",219,"53,785"
Dublin North-East,1,yes,Yes,FALSE,Yes,"26,222",elected,1,"967,954","39,526","39,312",214,"59,549"
Dublin North-East,1,no,No,FALSE,No,"13,090",running,1,"967,954","39,526","39,312",214,"59,549"
Dublin North-West,1,yes,Yes,FALSE,Yes,"21,395",elected,1,"967,954","30,538","30,320",218,"51,207"
Dublin North-West,1,no,No,FALSE,No,"8,925",running,1,"967,954","30,538","30,320",218,"51,207"
Dublin South,1,yes,Yes,FALSE,Yes,"49,109",elected,1,"967,954","70,543","70,259",284,"103,969"
Dublin South,1,no,No,FALSE,No,"21,150",running,1,"967,954","70,543","70,259",284,"103,969"
Dublin South-Central,1,yes,Yes,FALSE,Yes,"34,988",elected,1,"967,954","48,690","48,406",284,"80,406"
Dublin South-Central,1,no,No,FALSE,No,"13,418",running,1,"967,954","48,690","48,406",284,"80,406"
Dublin South-East,1,yes,Yes,FALSE,Yes,"25,655",elected,1,"967,954","34,452","34,249",203,"59,376"
Dublin South-East,1,no,No,FALSE,No,"8,594",running,1,"967,954","34,452","34,249",203,"59,376"
Dublin South-West,1,yes,Yes,FALSE,Yes,"32,010",elected,1,"967,954","45,169","44,911",258,"71,232"
Dublin South-West,1,no,No,FALSE,No,"12,901",running,1,"967,954","45,169","44,911",258,"71,232"
Dublin West,1,yes,Yes,FALSE,Yes,"29,690",elected,1,"967,954","42,250","42,040",210,"65,643"
Dublin West,1,no,No,FALSE,No,"12,350",running,1,"967,954","42,250","42,040",210,"65,643"
Dún Laoghaire,1,yes,Yes,FALSE,Yes,"38,284",elected,1,"967,954","53,762","53,452",310,"80,176"
Dún Laoghaire,1,no,No,FALSE,No,"15,168",running,1,"967,954","53,762","53,452",310,"80,176"
Galway East,1,yes,Yes,FALSE,Yes,"25,389",elected,1,"967,954","48,110","47,654",456,"85,900"
Galway East,1,no,No,FALSE,No,"22,265",running,1,"967,954","48,110","47,654",456,"85,900"
Galway West,1,yes,Yes,FALSE,Yes,"32,037",elected,1,"967,954","52,521","52,090",431,"95,180"
Galway West,1,no,No,FALSE,No,"20,053",running,1,"967,954","52,521","52,090",431,"95,180"
Kerry North-West Limerick,1,yes,Yes,FALSE,Yes,"19,678",elected,1,"967,954","35,769","35,486",283,"62,523"
