election,constituency,party,votes,seats
2024,Belfast East,DUP,21616,1
2024,Belfast East,AP,18990,
2024,Belfast East,UUP,2581,
2024,Belfast East,SDLP,1939,
2024,Belfast North,SF,23158,1
2024,Belfast North,DUP,19419,
2024,Belfast North,AP,5009,
2024,Belfast North,SDLP,255,
2024,Belfast North,UUP,161,
2024,Belfast North,PBP,57,
2024,Belfast North,AON,16,
2024,Belfast North,CON,5,
2024,Belfast South and Mid Down,SDLP,25409,1
2024,Belfast South and Mid Down,DUP,12087,
2024,Belfast South and Mid Down,AP,7348,
2024,Belfast South and Mid Down,UUP,1703,
2024,Belfast South and Mid Down,AON,568,
2024,Belfast South and Mid Down,SF,247,
2024,Belfast South and Mid Down,CON,167,
2024,Belfast South and Mid Down,GP,73,
2024,Belfast South and Mid Down,PBP,67,
2024,Belfast West,SF,20786,1
2024,Belfast West,DUP,7789,
2024,Belfast West,PBP,6059,
2024,Belfast West,SDLP,3195,
2024,Belfast West,AP,3060,
2024,Belfast West,AON,1599,
2024,Belfast West,UUP,370,
2024,Belfast West,CON,41,
2024,East Antrim,DUP,16818,1
2024,East Antrim,AP,10423,
2024,East Antrim,UUP,6671,
2024,East Antrim,SF,3120,
2024,East Antrim,SDLP,1432,
2024,East Antrim,CON,1007,
2024,East Antrim,GP,685,
2024,East Derry,DUP,16456,1
2024,East Derry,SDLP,6749,
2024,East Derry,SF,6343,
2024,East Derry,AP,5970,
2024,East Derry,UUP,3756,
2024,East Derry,AON,1776,
2024,East Derry,PBP,51,
2024,Fermanagh and South Tyrone,SF,21968,1
2024,Fermanagh and South Tyrone,UUP,21458,
2024,Fermanagh and South Tyrone,SDLP,3717,
2024,Fermanagh and South Tyrone,AP,2784,
2024,Fermanagh and South Tyrone,DUP,896,
2024,Fermanagh and South Tyrone,AON,61,
2024,Fermanagh and South Tyrone,IND,751,
2024,Foyle,SDLP,25785,1
2024,Foyle,SF,9372,
2024,Foyle,DUP,3852,
2024,Foyle,AON,1949,
2024,Foyle,PBP,1251,
2024,Foyle,AP,1189,
2024,Foyle,UUP,878,
2024,Lagan Valley,DUP,19840,1
2024,Lagan Valley,AP,12365,
2024,Lagan Valley,UUP,8460,
2024,Lagan Valley,SF,1994,
2024,Lagan Valley,SDLP,1855,
2024,Lagan Valley,CON,878,
2024,Lagan Valley,UKIP,315,
2024,Mid Ulster,SF,20372,1
2024,Mid Ulster,DUP,10566,
2024,Mid Ulster,SDLP,6194,
2024,Mid Ulster,AP,3395,
2024,Mid Ulster,UUP,3317,
2024,Mid Ulster,IND,690,
2024,Newry and Armagh,SF,19088,1
2024,Newry and Armagh,DUP,9415,
2024,Newry and Armagh,SDLP,9019,
2024,Newry and Armagh,AP,3913,
2024,Newry and Armagh,UUP,3605,
2024,Newry and Armagh,AON,1531,
2024,North Antrim,DUP,20650,1
2024,North Antrim,UUP,6885,
2024,North Antrim,AP,5811,
2024,North Antrim,SF,4609,
2024,North Antrim,SDLP,2404,
2024,North Antrim,CON,246,
2024,North Antrim,IND,17,
2024,North Down,AP,19182,1
2024,North Down,DUP,16541,
2024,North Down,UUP,5075,
2024,North Down,CON,1959,
2024,South Antrim,DUP,15432,1
2024,South Antrim,UUP,12396,
2024,South Antrim,AP,7837,
2024,South Antrim,SF,4858,
2024,South Antrim,SDLP,2113,
2024,South Antrim,CON,18,
2024,South Antrim,PBP,11,
2024,South Antrim,AON,3,
2024,South Down,SF,13863,1
2024,South Down,SDLP,12240,
2024,South Down,DUP,8162,
2024,South Down,AP,6212,
2024,South Down,UUP,3460,
2024,South Down,AON,1070,
2024,Strangford,DUP,16128,1
2024,Strangford,AP,10451,
2024,Strangford,SDLP,4002,
2024,Strangford,UUP,3677,
2024,Strangford,SF,3017,
2024,Strangford,CON,1341,
2024,Strangford,GP,717,
2024,Strangford,UKIP,308,
2024,Strangford,AON,193,
2024,Upper Bann,DUP,18931,1
2024,Upper Bann,SF,11454,
2024,Upper Bann,AP,5880,
2024,Upper Bann,UUP,5788,
2024,Upper Bann,SDLP,4351,
2024,Upper Bann,AON,38,
2024,West Tyrone,SF,17604,
2024,West Tyrone,DUP,9530,
2024,West Tyrone,SDLP,8108,
2024,West Tyrone,AP,4206,
2024,West Tyrone,UUP,2882,
2024,West Tyrone,AON,1010,
2024,West Tyrone,GP,521,
2024,West Tyrone,PBP,30,
