date,commissioner,pollster,sample,moe,FF,FG,SF,SD,LAB,AON,INDIRL,GP,PBPS,REN,IA,PD,IND
4 Apr 2026,Sunday Independent,Ireland Thinks,"~1,000",2.8,19,17,22,9,5,6,6,3,3,,,,10
29 Mar 2026,Business Post,Red C,"1,010",3,16,18,24,8,4,6,5,3,3,,,,12
27 Feb 2026,Sunday Independent,Ireland Thinks,"~1,200",2.8,18,17,22,11,4,6,5,4,3,,,,11
19 Feb 2026,Business Post,Red C,"1,010",3,17,18,23,9,5,5,4,3,3,,,,13
3 Feb 2026,The Irish Times,Ipsos B&A,"1,200",2.8,19,18,24,7,4,3,4,4,2,,,,16
30 Jan 2026,Sunday Independent,Ireland Thinks,"1,248",2.8,18,18,20,10,4,6,6,3,4,,,,11
21 Jan 2026,Business Post,Red C,"1,010",3,15,18,24,10,5,5,4,2,3,,,,14
19 Dec 2025,Sunday Independent,Ireland Thinks,"~1,000",~3.0,18,17,22,10,4,6,5,2,4,,,,11
5 Dec 2025,Sunday Independent,Ireland Thinks,"1,069",3.1,20,17,24,8,5,5,5,2,3,,,,11
26 Nov 2025,Business Post,Red C,"1,010",3,18,17,22,8,4,6,4,3,2,,,,15
31 Oct 2025,Sunday Independent,Ireland Thinks,"1,609",2.5,18,19,23,9,5,6,5,2,3,,,,10
21 Oct 2025,Business Post,Red C,"1,012",~3.0,17,19,23,9,4,4,5,3,3,,,,12
15 Oct 2025,The Irish Times,Ipsos B&A,"1,200",2.8,17,18,27,6,5,3,2,3,2,,,,17
3 Oct 2025,Sunday Independent,Ireland Thinks,"1,500",2.3,20,21,21,8,4,6,4,1,3,,,,11
9 Sep 2025,Business Post,Red C,"1,003",3,18,19,21,7,4,3,6,3,4,,,,15
5 Sep 2025,Sunday Independent,Ireland Thinks,"~1,500",2.3,22,21,20,7,4,4,4,2,3,,,,13
1 Aug 2025,Sunday Independent,Ireland Thinks,"1,319",2.7,20,20,20,8,4,4,5,1,3,,,,14
15 Jul 2025,The Irish Times,Ipsos B&A,"1,200",2.8,22,17,22,6,4,2,,3,2,,,,22
4 Jul 2025,Sunday Independent,Ireland Thinks,"1,532",2.3,19,20,20,8,5,5,6,2,3,,,,11
25 Jun 2025,Business Post,Red C,"1,008",3,19,18,21,7,4,5,5,3,3,,,,14
30 May 2025,Sunday Independent,Ireland Thinks,"1,857",2.3,21,21,20,9,5,5,5,1,3,,,,10
22 May 2025,Business Post,Red C,"1,000",3,20,19,22,7,5,4,4,3,3,,,,13
2 May 2025,Sunday Independent,Ireland Thinks,"1,649",2.5,23,20,22,8,4,4,5,2,3,,,,9
23 Apr 2025,Business Post,Red C,"1,000",3,20,20,24,7,3,5,5,3,3,,,,10
17 Apr 2025,The Irish Times,Ipsos B&A,"1,200",2.8,22,16,26,7,4,1,,3,3,,,,17
4 Apr 2025,Sunday Independent,Ireland Thinks,"2,072",2.2,25,21,21,8,4,4,4,2,3,,,,9
26 Mar 2025,Business Post,Red C,"1,002",3,22,17,22,7,4,4,4,3,3,,,,13
28 Feb 2025,Sunday Independent,Ireland Thinks,"1,373",2.7,22,22,21,7,4,3,5,2,2,,,,11
19 Feb 2025,Business Post,Red C,"1,029",3,20,20,23,7,4,4,4,3,3,,,,11
1 Feb 2025,Sunday Independent,Ireland Thinks,"1,591",2.5,24,20,22,8,4,4,4,3,2,,,,9
22 Jan 2025,Business Post,Red C,"1,003",3.1,22,20,22,7,3,4,3,3,2,,,,13
11 Jan 2025,Sunday Independent,Ireland Thinks,"1,206",2.9,23.8,22.3,19.3,7.3,3.8,5.3,4.9,2.3,2.2,,,,8.8
29 November 2024,RTÉ/TG4/The Irish Times,Ipsos B&A,"5,018",,19.5,21,21.1,5.8,5,3.6,2.2,4,3.1,,,,14.6
26 November 2024,Business Post,Red C,"1,004",,21,20,20,6,4,4,4,4,2,,,,15
23 November 2024,The Irish Times,Ipsos B&A,"1,200",,21,19,20,6,4,3,,4,3,,,,17
23 November 2024,Sunday Independent,Ireland Thinks,"1,420",,20,22,20,5,4,5,,3,2,,,,19
16 November 2024,The Sunday Times,Opinions,"1,000",,20,23,18,6,4,2,,4,2,,,,21
13 November 2024,The Irish Times,Ipsos B&A,"1,200",,19,25,19,4,5,3,,3,2,,,,20
9 November 2024,Business Post,Red C,"1,208",,21,22,18,6,3,5,3,4,2,,,,16
2 November 2024,Sunday Independent,Ireland Thinks,"1,832",,20,26,18,6,4,3,,4,2,,,,16
23 October 2024,Business Post,Red C,"1,003",,21,22,17,5,4,3,5,3,3,,,,15
16 October 2024,The Sunday Times,Opinions,"1,005",,19,24,16,5,5,2,,4,3,,,,22
4 October 2024,Sunday Independent,Ireland Thinks,"1,413",,19,26,19,6,5,4,,4,2,,,,16
19 September 2024,The Sunday Times,Opinions,"1,000",,20,24,18,5,4,2,,4,3,,,,20
17 September 2024,The Irish Times,Ipsos B&A,"1,200",,19,27,20,4,6,1,,5,2,,,,16
10 September 2024,Business Post,Red C,"1,004",,18,23,18,6,4,4,4,4,3,,,,15
31 August 2024,Sunday Independent,Ireland Thinks,"1,423",,21,25,18,4,4,3,,4,2,,,,19
3 August 2024,Sunday Independent,Ireland Thinks,"1,388",,20,24,19,5,4,4,,4,2,,,,18
5 July 2024,Sunday Independent,Ireland Thinks,"1,394",,20,24,18,4,3,4,,4,3,,,,20
26 June 2024,Business Post,Red C,"1,000",,19,21,20,5,3,3,5,5,3,,,,15
31 May 2024,Sunday Independent,Ireland Thinks,"1,770",,17,22,22,5,3,3,,4,2,,,,23
22 May 2024,Business Post,Red C,"1,021",,15,22,23,5,4,3,,4,3,,,,21
15 May 2024,The Sunday Times,Opinions,"1,100",,16,19,27,6,3,3,,5,3,,,,18
15 May 2024,The Irish Times,Ipsos B&A,"1,500",,20,23,23,3,5,1,,4,2,,,,17
3 May 2024,Sunday Independent,Ireland Thinks,"1,316",,16,19,29,6,3,3,,4,2,,,,19
25 April 2024,Business Post,Red C,"1,027",,14,20,27,6,3,4,,3,2,,,,21
17 April 2024,The Sunday Times,Opinions,"1,100",,16,20,27,4,5,3,,6,3,,,,16
6 April 2024,Sunday Independent,Ireland Thinks,"1,334",,16,21,26,6,3,4,,4,2,,,,17
23 March 2024,Sunday Independent,Ireland Thinks,"1,304",,17,22,27,6,4,4,,4,2,,,,14
